musteri_id,yas,yas_grubu,sehir,segment,urun_tipi,kanal,musteri_suresi_yil,son_islem_gun,musteri_durumu,churn_riski_pct,bakiye_tl,bakiye_degisim_pct
MUS0033,38,36-50,Ankara,Özel Bankacılık,Konut Kredisi,Şube,3,6,Aktif,9,19100.15,-8.3
MUS0034,41,36-50,İstanbul,KOBİ,İhtiyaç Kredisi,ATM,10,5,Aktif,-7,9545.63,5.6
MUS0035,57,51+,Antalya,KOBİ,Konut Kredisi,Şube,3,7,Aktif,10,32812.34,4.1
MUS0036,54,51+,İstanbul,KOBİ,Konut Kredisi,Mobil,8,9,Aktif,3,-2575.23,-16.7
MUS0037,30,22-35,İzmir,KOBİ,Konut Kredisi,İnternet,11,18,Aktif,23,-4468.17,-27.0
MUS0038,66,51+,İstanbul,KOBİ,Kredi Kartı,ATM,15,5,Aktif,22,18638.27,-28.3
MUS0039,45,36-50,Adana,KOBİ,Vadesiz Mevduat,Şube,15,4,Aktif,7,14452.32,-7.6
MUS0040,48,36-50,Bursa,Bireysel,Kredi Kartı,Şube,10,1,Aktif,28,4864.84,7.0
MUS0041,48,36-50,Antalya,KOBİ,Kredi Kartı,Şube,13,13,Aktif,18,42969.17,4.3
MUS0042,36,36-50,Adana,Bireysel,Yatırım Hesabı,ATM,4,1,Aktif,-3,31301.83,-14.1
MUS0043,39,36-50,Antalya,KOBİ,Vadesiz Mevduat,ATM,14,13,Aktif,6,32373.5,3.7
MUS0044,43,36-50,Antalya,KOBİ,Vadesiz Mevduat,Şube,1,22,Risk Altında,33,962.14,-12.6
MUS0045,68,51+,Gaziantep,Özel Bankacılık,Konut Kredisi,Mobil,13,7,Aktif,8,9009.74,-1.6
MUS0046,22,22-35,Bursa,Özel Bankacılık,İhtiyaç Kredisi,ATM,9,11,Aktif,12,29273.55,-3.5
MUS0047,29,22-35,Antalya,Özel Bankacılık,Konut Kredisi,İnternet,12,10,Aktif,22,25492.69,-22.3
MUS0048,64,51+,Antalya,KOBİ,Kredi Kartı,İnternet,7,10,Aktif,5,10780.25,-12.8
MUS0049,59,51+,Konya,Özel Bankacılık,Konut Kredisi,İnternet,10,17,Aktif,-4,21025.24,6.0
MUS0050,32,22-35,Antalya,Bireysel,Vadesiz Mevduat,ATM,11,10,Aktif,17,7355.24,-22.0
MUS0051,23,22-35,Konya,Özel Bankacılık,Kredi Kartı,Mobil,1,173,Pasif,63,29637.1,-22.2
MUS0052,66,51+,Gaziantep,Bireysel,Yatırım Hesabı,Şube,7,1,Aktif,20,44096.29,4.4
MUS0053,28,22-35,Bursa,KOBİ,Yatırım Hesabı,Şube,13,49,Risk Altında,36,-2237.99,-20.0
MUS0054,29,22-35,Konya,Özel Bankacılık,Kredi Kartı,ATM,8,52,Risk Altında,44,18470.74,6.3
MUS0055,50,36-50,Konya,Özel Bankacılık,Kredi Kartı,İnternet,15,9,Aktif,12,37119.75,-9.1
MUS0056,62,51+,Konya,KOBİ,Konut Kredisi,Mobil,4,8,Aktif,-1,9944.33,-17.2
MUS0057,56,51+,İzmir,Özel Bankacılık,Kredi Kartı,Şube,2,33,Risk Altında,44,-1467.41,-13.7
MUS0058,56,51+,İstanbul,Özel Bankacılık,Yatırım Hesabı,Şube,8,19,Aktif,12,47033.41,-29.2
MUS0059,58,51+,İstanbul,Özel Bankacılık,Yatırım Hesabı,ATM,7,14,Aktif,2,24602.13,-0.6
MUS0060,60,51+,Konya,Özel Bankacılık,Kredi Kartı,Şube,15,16,Aktif,28,-3403.63,-16.6
MUS0061,65,51+,İzmir,Bireysel,Yatırım Hesabı,İnternet,13,18,Aktif,9,-3516.85,-14.2
MUS0062,58,51+,Ankara,Bireysel,Vadesiz Mevduat,İnternet,11,6,Aktif,4,-2234.35,-14.8
MUS0063,35,22-35,Adana,Özel Bankacılık,Konut Kredisi,İnternet,8,9,Aktif,23,40920.1,-11.2
MUS0064,56,51+,Bursa,KOBİ,Konut Kredisi,Mobil,1,1,Aktif,16,47228.65,-22.0
MUS0065,23,22-35,Bursa,Özel Bankacılık,Kredi Kartı,Şube,10,56,Risk Altında,38,47126.64,-11.4
MUS0066,38,36-50,İzmir,Bireysel,Konut Kredisi,Mobil,13,4,Aktif,-1,26827.66,7.2
MUS0067,58,51+,Gaziantep,Bireysel,Yatırım Hesabı,Şube,11,8,Aktif,18,604.57,0.9
MUS0068,65,51+,İstanbul,KOBİ,Vadesiz Mevduat,ATM,10,12,Aktif,3,-1207.38,-4.1
MUS0069,22,22-35,Konya,Özel Bankacılık,Yatırım Hesabı,Mobil,14,15,Aktif,21,33901.98,-12.6
MUS0070,68,51+,Konya,Özel Bankacılık,Konut Kredisi,İnternet,9,9,Aktif,8,12726.75,-20.2
MUS0071,27,22-35,Bursa,KOBİ,Yatırım Hesabı,İnternet,5,13,Aktif,29,13501.81,-10.2
MUS0072,42,36-50,Bursa,Özel Bankacılık,Yatırım Hesabı,ATM,3,9,Aktif,0,43417.6,-2.0
MUS0073,39,36-50,Bursa,Bireysel,Vadesiz Mevduat,Mobil,9,16,Aktif,3,25534.69,-20.4
MUS0074,52,51+,Konya,Bireysel,Yatırım Hesabı,Mobil,11,8,Aktif,-1,17242.06,-20.3
MUS0075,64,51+,Konya,Özel Bankacılık,Konut Kredisi,ATM,10,11,Aktif,7,14349.58,-11.9
MUS0076,41,36-50,Ankara,Özel Bankacılık,Kredi Kartı,Şube,5,18,Aktif,18,47298.27,-2.4
MUS0077,34,22-35,Antalya,Bireysel,Yatırım Hesabı,ATM,4,10,Aktif,16,7511.57,-22.8
MUS0078,22,22-35,İzmir,Bireysel,İhtiyaç Kredisi,ATM,12,18,Aktif,11,11067.52,7.8
MUS0079,62,51+,Ankara,KOBİ,Yatırım Hesabı,Mobil,14,16,Aktif,-1,21329.28,-16.4
MUS0080,25,22-35,Ankara,Özel Bankacılık,Yatırım Hesabı,Mobil,5,3,Aktif,25,26736.16,-2.5
MUS0081,31,22-35,Antalya,Bireysel,İhtiyaç Kredisi,Mobil,3,18,Aktif,13,37044.39,-5.7
MUS0082,61,51+,Gaziantep,Özel Bankacılık,İhtiyaç Kredisi,İnternet,4,19,Aktif,-1,49451.72,-17.8
MUS0083,61,51+,Ankara,KOBİ,İhtiyaç Kredisi,Şube,1,36,Risk Altında,31,31323.55,-23.7
MUS0084,33,22-35,İzmir,Özel Bankacılık,Vadesiz Mevduat,Mobil,9,16,Aktif,24,11019.26,-20.7
MUS0085,67,51+,Ankara,Özel Bankacılık,Yatırım Hesabı,Şube,5,19,Aktif,20,31365.07,7.3
MUS0086,49,36-50,Bursa,Özel Bankacılık,İhtiyaç Kredisi,Şube,2,3,Aktif,29,-1719.91,1.7
MUS0087,60,51+,Antalya,Bireysel,İhtiyaç Kredisi,İnternet,12,10,Aktif,4,33485.35,7.7
MUS0088,54,51+,Konya,KOBİ,Yatırım Hesabı,Mobil,9,14,Aktif,-9,35399.37,-5.9
MUS0089,23,22-35,İstanbul,KOBİ,Kredi Kartı,ATM,2,31,Risk Altında,51,20877.55,-3.9
MUS0090,39,36-50,Gaziantep,Bireysel,İhtiyaç Kredisi,İnternet,3,12,Aktif,5,17459.15,-17.2
MUS0091,28,22-35,Adana,KOBİ,Kredi Kartı,İnternet,14,38,Risk Altında,40,31442.09,-14.0
MUS0092,57,51+,Ankara,Özel Bankacılık,Yatırım Hesabı,ATM,1,4,Aktif,25,48360.16,-13.8
MUS0093,54,51+,Konya,Bireysel,Vadesiz Mevduat,İnternet,14,17,Aktif,-4,14897.86,0.3
MUS0094,62,51+,Bursa,KOBİ,Vadesiz Mevduat,ATM,8,10,Aktif,-6,19096.39,-2.1
MUS0095,29,22-35,Bursa,Özel Bankacılık,İhtiyaç Kredisi,Şube,1,61,Pasif,62,25373.83,-26.3
MUS0096,29,22-35,İzmir,KOBİ,Vadesiz Mevduat,İnternet,8,17,Aktif,19,33797.64,-13.4
MUS0097,52,51+,Konya,Özel Bankacılık,Kredi Kartı,Şube,8,17,Aktif,21,36046.09,-24.5
MUS0098,26,22-35,Adana,Bireysel,Yatırım Hesabı,ATM,5,10,Aktif,19,41061.18,-6.8
MUS0099,64,51+,Konya,Özel Bankacılık,Kredi Kartı,İnternet,8,18,Aktif,15,36958.0,-14.9
MUS0100,42,36-50,Bursa,Bireysel,Kredi Kartı,İnternet,14,2,Aktif,18,12499.7,-11.1
MUS0101,46,36-50,Konya,Bireysel,Kredi Kartı,Mobil,7,19,Aktif,21,13259.71,-26.0
MUS0102,50,36-50,Konya,KOBİ,İhtiyaç Kredisi,Mobil,2,14,Aktif,19,42901.31,8.8
MUS0103,26,22-35,Adana,KOBİ,Konut Kredisi,İnternet,8,11,Aktif,12,41878.77,4.4
MUS0104,46,36-50,İstanbul,Bireysel,Yatırım Hesabı,Mobil,6,10,Aktif,10,49858.43,-0.1
MUS0105,49,36-50,Konya,KOBİ,Vadesiz Mevduat,Şube,2,21,Risk Altında,34,-2470.5,1.8
MUS0106,40,36-50,Gaziantep,Bireysel,Konut Kredisi,Şube,6,14,Aktif,16,26126.04,1.7
MUS0107,32,22-35,Gaziantep,Özel Bankacılık,Vadesiz Mevduat,Şube,3,29,Risk Altında,38,7770.36,-4.5
MUS0108,51,51+,Konya,KOBİ,Vadesiz Mevduat,ATM,5,6,Aktif,7,-937.6,7.8
MUS0109,59,51+,Antalya,Özel Bankacılık,Yatırım Hesabı,İnternet,5,13,Aktif,-4,41933.45,-25.7
MUS0110,46,36-50,Antalya,Bireysel,Konut Kredisi,ATM,10,9,Aktif,2,-4554.61,4.6
MUS0111,25,22-35,Konya,Bireysel,İhtiyaç Kredisi,ATM,15,12,Aktif,29,7045.25,-22.4
MUS0112,38,36-50,Ankara,Özel Bankacılık,Kredi Kartı,Mobil,11,2,Aktif,19,26876.56,-0.7
MUS0113,27,22-35,Adana,Bireysel,Konut Kredisi,İnternet,15,5,Aktif,16,38258.2,5.1
MUS0114,45,36-50,Antalya,Özel Bankacılık,İhtiyaç Kredisi,Şube,9,10,Aktif,15,36060.76,-16.5
MUS0115,29,22-35,İzmir,KOBİ,Vadesiz Mevduat,Şube,8,55,Risk Altında,32,15117.63,1.6
MUS0116,22,22-35,Ankara,Özel Bankacılık,İhtiyaç Kredisi,İnternet,5,19,Aktif,18,15956.4,-4.5
MUS0117,45,36-50,Konya,KOBİ,Kredi Kartı,Mobil,2,40,Risk Altında,47,45339.07,-21.1
MUS0118,26,22-35,Antalya,Bireysel,Yatırım Hesabı,İnternet,11,2,Aktif,14,47044.38,-17.8
MUS0119,53,51+,Bursa,Özel Bankacılık,Vadesiz Mevduat,Şube,2,43,Risk Altında,39,31876.74,-0.3
MUS0120,56,51+,İzmir,KOBİ,İhtiyaç Kredisi,İnternet,7,16,Aktif,-7,28860.87,7.6
MUS0121,39,36-50,Bursa,Özel Bankacılık,Konut Kredisi,İnternet,1,12,Aktif,22,464.5,-2.6
MUS0122,56,51+,İstanbul,Özel Bankacılık,Konut Kredisi,İnternet,15,4,Aktif,-4,47195.59,3.0
MUS0123,27,22-35,İstanbul,Özel Bankacılık,Kredi Kartı,Mobil,11,28,Risk Altında,32,38283.8,-21.8
MUS0124,57,51+,Bursa,Özel Bankacılık,İhtiyaç Kredisi,Şube,4,1,Aktif,4,10250.12,9.4
MUS0125,30,22-35,İzmir,KOBİ,Konut Kredisi,Mobil,9,5,Aktif,10,-4182.68,1.6
MUS0126,37,36-50,İstanbul,Özel Bankacılık,Konut Kredisi,Şube,10,5,Aktif,1,35794.49,-9.0
MUS0127,26,22-35,Adana,Özel Bankacılık,Yatırım Hesabı,Mobil,8,8,Aktif,26,46997.86,-28.3
MUS0128,64,51+,Konya,Bireysel,Konut Kredisi,Mobil,9,13,Aktif,5,18445.05,-25.7
MUS0129,67,51+,Ankara,Özel Bankacılık,Yatırım Hesabı,Mobil,15,5,Aktif,9,-1387.48,-19.0
MUS0130,62,51+,Adana,KOBİ,İhtiyaç Kredisi,İnternet,10,10,Aktif,6,19954.35,-5.8
MUS0131,28,22-35,Bursa,Özel Bankacılık,Vadesiz Mevduat,İnternet,13,14,Aktif,17,13641.24,-11.9
MUS0132,48,36-50,Adana,Özel Bankacılık,Vadesiz Mevduat,İnternet,12,12,Aktif,-2,47447.59,-2.5
MUS0133,52,51+,Ankara,Özel Bankacılık,Vadesiz Mevduat,Mobil,2,12,Aktif,18,39647.31,-7.7
MUS0134,59,51+,Adana,Özel Bankacılık,İhtiyaç Kredisi,Mobil,9,14,Aktif,1,42745.07,-1.2
MUS0135,40,36-50,Adana,KOBİ,Konut Kredisi,Mobil,10,7,Aktif,6,3510.16,-10.7
MUS0136,28,22-35,Adana,Özel Bankacılık,İhtiyaç Kredisi,Mobil,6,8,Aktif,28,39397.18,3.8
MUS0137,61,51+,İstanbul,Bireysel,İhtiyaç Kredisi,ATM,10,9,Aktif,-5,33648.43,-17.6
MUS0138,43,36-50,İzmir,KOBİ,Vadesiz Mevduat,Şube,6,3,Aktif,12,2803.11,-4.7
MUS0139,23,22-35,Bursa,Özel Bankacılık,İhtiyaç Kredisi,İnternet,2,41,Risk Altında,49,3657.51,-17.5
MUS0140,42,36-50,Ankara,Bireysel,İhtiyaç Kredisi,Mobil,13,2,Aktif,-5,32068.28,-19.1
MUS0141,64,51+,Konya,Özel Bankacılık,Yatırım Hesabı,İnternet,7,17,Aktif,-4,1259.96,-12.8
MUS0142,40,36-50,Konya,Bireysel,İhtiyaç Kredisi,ATM,11,13,Aktif,-3,49144.51,-27.8
MUS0143,35,22-35,İzmir,Özel Bankacılık,Kredi Kartı,ATM,5,27,Risk Altında,35,-4574.86,-0.1
MUS0144,33,22-35,Bursa,Bireysel,Yatırım Hesabı,ATM,3,2,Aktif,22,18992.08,-11.6
MUS0145,26,22-35,Gaziantep,KOBİ,Konut Kredisi,İnternet,14,14,Aktif,30,10923.34,-13.8
MUS0146,42,36-50,Konya,Bireysel,İhtiyaç Kredisi,ATM,3,4,Aktif,3,8382.41,-6.4
MUS0147,55,51+,Antalya,Bireysel,Yatırım Hesabı,ATM,2,6,Aktif,25,-799.13,-4.7
MUS0148,55,51+,Adana,KOBİ,Kredi Kartı,ATM,9,5,Aktif,25,7994.79,-24.1
MUS0149,34,22-35,İzmir,Bireysel,İhtiyaç Kredisi,Mobil,3,16,Aktif,30,20517.42,-7.5
MUS0150,59,51+,Adana,Bireysel,İhtiyaç Kredisi,ATM,8,3,Aktif,4,20790.66,-4.7
MUS0151,39,36-50,Adana,Özel Bankacılık,Vadesiz Mevduat,Mobil,10,15,Aktif,4,-2931.6,-15.3
MUS0152,40,36-50,Gaziantep,KOBİ,Vadesiz Mevduat,İnternet,2,22,Risk Altında,32,19735.35,2.4
MUS0153,63,51+,Konya,Bireysel,Konut Kredisi,Şube,4,4,Aktif,14,39603.17,3.5
MUS0154,67,51+,İzmir,Bireysel,İhtiyaç Kredisi,Mobil,2,15,Aktif,29,23823.77,-5.6
MUS0155,45,36-50,Gaziantep,Özel Bankacılık,Konut Kredisi,İnternet,6,2,Aktif,9,38407.48,-4.1
MUS0156,26,22-35,Gaziantep,Özel Bankacılık,Vadesiz Mevduat,ATM,6,5,Aktif,29,13334.91,-6.7
MUS0157,31,22-35,Antalya,Bireysel,Konut Kredisi,İnternet,15,3,Aktif,29,12027.0,-14.9
MUS0158,43,36-50,Ankara,KOBİ,Kredi Kartı,İnternet,14,1,Aktif,16,14942.87,-22.8
MUS0159,35,22-35,Bursa,Bireysel,Yatırım Hesabı,Şube,6,3,Aktif,24,11268.57,1.5
MUS0160,54,51+,İstanbul,KOBİ,İhtiyaç Kredisi,ATM,13,13,Aktif,-6,3483.9,-22.8
MUS0161,66,51+,İzmir,Bireysel,İhtiyaç Kredisi,İnternet,13,12,Aktif,3,32199.96,-20.5
MUS0162,50,36-50,Konya,KOBİ,Konut Kredisi,Şube,10,10,Aktif,7,48107.82,1.4
MUS0163,34,22-35,Konya,Özel Bankacılık,İhtiyaç Kredisi,İnternet,6,17,Aktif,22,24010.29,8.7
MUS0164,34,22-35,İzmir,Bireysel,İhtiyaç Kredisi,ATM,13,16,Aktif,30,43076.43,-7.8
MUS0165,28,22-35,Ankara,Bireysel,İhtiyaç Kredisi,ATM,12,9,Aktif,15,19712.56,-9.5
MUS0166,49,36-50,Konya,Bireysel,Kredi Kartı,ATM,2,23,Risk Altında,43,16804.97,-15.0
MUS0167,46,36-50,Bursa,Özel Bankacılık,Konut Kredisi,Mobil,2,11,Aktif,18,38525.94,-24.5
MUS0168,40,36-50,İzmir,Özel Bankacılık,Yatırım Hesabı,İnternet,15,1,Aktif,9,44822.16,-29.2
MUS0169,35,22-35,Gaziantep,Özel Bankacılık,Kredi Kartı,Mobil,14,39,Risk Altında,32,1701.66,-20.5
MUS0170,62,51+,Konya,Bireysel,İhtiyaç Kredisi,Mobil,13,18,Aktif,5,-4096.06,-9.4
MUS0171,37,36-50,Antalya,Bireysel,Kredi Kartı,İnternet,12,12,Aktif,24,8231.03,-13.3
MUS0172,64,51+,Adana,KOBİ,Vadesiz Mevduat,Mobil,11,17,Aktif,7,38252.68,-9.7
MUS0173,23,22-35,İstanbul,Özel Bankacılık,Yatırım Hesabı,İnternet,7,1,Aktif,18,14640.16,-27.3
MUS0174,37,36-50,Adana,Bireysel,Vadesiz Mevduat,Şube,12,18,Aktif,11,13620.1,-4.3
MUS0175,65,51+,İzmir,Bireysel,Yatırım Hesabı,Şube,8,2,Aktif,14,11139.34,-28.2
MUS0176,34,22-35,Adana,KOBİ,Vadesiz Mevduat,ATM,15,18,Aktif,22,21036.99,-28.5
MUS0177,63,51+,Adana,KOBİ,Konut Kredisi,Mobil,4,9,Aktif,0,1846.13,-15.3
MUS0178,47,36-50,Gaziantep,Bireysel,Yatırım Hesabı,ATM,12,16,Aktif,5,15204.08,1.9
MUS0179,39,36-50,Gaziantep,Özel Bankacılık,Vadesiz Mevduat,Mobil,13,6,Aktif,9,25001.09,-17.2
MUS0180,27,22-35,Antalya,KOBİ,Konut Kredisi,İnternet,6,6,Aktif,23,32937.06,-15.9
MUS0181,24,22-35,Gaziantep,KOBİ,Konut Kredisi,ATM,12,3,Aktif,11,31915.11,-13.8
MUS0182,54,51+,İstanbul,KOBİ,Kredi Kartı,Şube,13,2,Aktif,29,1942.65,-20.6
MUS0183,63,51+,Gaziantep,KOBİ,Konut Kredisi,Mobil,6,15,Aktif,-6,47185.29,-15.1
MUS0184,26,22-35,Adana,Özel Bankacılık,Kredi Kartı,İnternet,10,37,Risk Altında,45,8728.64,-25.5
MUS0185,33,22-35,Gaziantep,Özel Bankacılık,İhtiyaç Kredisi,Mobil,8,15,Aktif,18,6801.37,-5.5
MUS0186,66,51+,Bursa,Bireysel,Yatırım Hesabı,Mobil,15,15,Aktif,-8,4496.1,-1.5
MUS0187,27,22-35,Adana,KOBİ,Konut Kredisi,Mobil,13,10,Aktif,27,44023.24,4.1
MUS0188,67,51+,Adana,Bireysel,Kredi Kartı,Şube,12,5,Aktif,21,8020.49,-10.2
MUS0189,45,36-50,Adana,KOBİ,İhtiyaç Kredisi,İnternet,9,3,Aktif,-6,-1383.85,-14.1
MUS0190,67,51+,Gaziantep,KOBİ,Yatırım Hesabı,İnternet,12,5,Aktif,-8,48480.89,-4.3
MUS0191,50,36-50,Adana,KOBİ,İhtiyaç Kredisi,Şube,8,19,Aktif,20,5007.97,8.7
MUS0192,49,36-50,Ankara,Özel Bankacılık,Vadesiz Mevduat,Şube,9,6,Aktif,5,12746.34,-1.6
MUS0193,44,36-50,Ankara,Bireysel,Konut Kredisi,ATM,9,18,Aktif,10,10094.81,-5.0
MUS0194,61,51+,İzmir,Bireysel,Vadesiz Mevduat,Şube,9,11,Aktif,19,41339.15,-7.5
MUS0195,23,22-35,Antalya,KOBİ,Vadesiz Mevduat,Şube,2,139,Pasif,58,30144.52,-10.1
MUS0196,62,51+,Antalya,Bireysel,Konut Kredisi,İnternet,9,10,Aktif,2,19944.93,-2.5
MUS0197,32,22-35,Konya,Bireysel,Yatırım Hesabı,İnternet,8,5,Aktif,20,12192.04,-1.3
MUS0198,68,51+,Gaziantep,Özel Bankacılık,Konut Kredisi,Şube,14,18,Aktif,16,840.12,-20.3
MUS0199,29,22-35,Bursa,Bireysel,Yatırım Hesabı,Şube,5,10,Aktif,21,46996.17,4.6
MUS0200,48,36-50,Adana,Bireysel,Kredi Kartı,ATM,4,16,Aktif,10,49778.32,-11.3
MUS0201,41,36-50,Ankara,KOBİ,Vadesiz Mevduat,İnternet,8,8,Aktif,4,6832.94,-15.9
MUS0202,25,22-35,Konya,KOBİ,Yatırım Hesabı,ATM,5,4,Aktif,10,18701.03,5.3
MUS0203,68,51+,Adana,Özel Bankacılık,Yatırım Hesabı,Mobil,6,19,Aktif,-9,25899.93,-15.5
MUS0204,40,36-50,Konya,KOBİ,Yatırım Hesabı,ATM,2,27,Risk Altında,34,2076.49,-26.1
MUS0205,45,36-50,Adana,Bireysel,Konut Kredisi,Şube,13,17,Aktif,19,17076.29,-28.4
MUS0206,24,22-35,Konya,Bireysel,Konut Kredisi,İnternet,3,17,Aktif,29,2687.95,7.3
MUS0207,42,36-50,Antalya,KOBİ,Yatırım Hesabı,ATM,3,18,Aktif,6,21941.57,-7.5
MUS0208,52,51+,Adana,KOBİ,Vadesiz Mevduat,ATM,14,14,Aktif,-7,27103.62,1.9
MUS0209,68,51+,Konya,KOBİ,Vadesiz Mevduat,ATM,14,19,Aktif,8,7514.88,-27.9
MUS0210,52,51+,Gaziantep,KOBİ,İhtiyaç Kredisi,Şube,3,2,Aktif,7,26491.36,-2.0
MUS0211,34,22-35,Adana,Bireysel,Yatırım Hesabı,İnternet,1,33,Risk Altında,48,17570.76,1.0
MUS0212,52,51+,İzmir,KOBİ,Vadesiz Mevduat,Şube,14,16,Aktif,10,23901.24,-17.4
MUS0213,33,22-35,Adana,KOBİ,İhtiyaç Kredisi,ATM,8,9,Aktif,30,28554.21,-22.3
MUS0214,37,36-50,Antalya,Özel Bankacılık,İhtiyaç Kredisi,Şube,5,7,Aktif,9,32963.2,-10.4
MUS0215,52,51+,Antalya,Bireysel,İhtiyaç Kredisi,ATM,6,18,Aktif,8,15883.18,9.2
MUS0216,44,36-50,Antalya,Özel Bankacılık,Kredi Kartı,Mobil,13,12,Aktif,7,45820.53,-3.8
MUS0217,52,51+,Antalya,Bireysel,Kredi Kartı,ATM,4,19,Aktif,8,8160.51,-28.0
MUS0218,55,51+,İstanbul,Özel Bankacılık,Kredi Kartı,Mobil,4,16,Aktif,15,529.97,0.8
MUS0219,22,22-35,Gaziantep,Özel Bankacılık,Kredi Kartı,İnternet,9,32,Risk Altında,45,36575.11,-18.5
MUS0220,40,36-50,Ankara,KOBİ,Vadesiz Mevduat,Şube,11,6,Aktif,1,17983.67,3.5
MUS0221,24,22-35,Konya,KOBİ,Yatırım Hesabı,Şube,14,2,Aktif,29,-4490.31,-7.3
MUS0222,28,22-35,Antalya,KOBİ,Konut Kredisi,İnternet,15,17,Aktif,27,22165.18,7.5
MUS0223,54,51+,Bursa,Özel Bankacılık,Konut Kredisi,Mobil,8,15,Aktif,-5,30655.69,-1.3
MUS0224,22,22-35,Antalya,Bireysel,Konut Kredisi,Şube,12,45,Risk Altında,39,40484.44,-9.4
MUS0225,27,22-35,İzmir,Özel Bankacılık,Vadesiz Mevduat,Şube,7,8,Aktif,30,-4624.34,-14.7
MUS0226,50,36-50,Adana,KOBİ,Konut Kredisi,ATM,13,1,Aktif,8,9385.42,-15.6
MUS0227,37,36-50,Konya,Bireysel,Vadesiz Mevduat,ATM,1,17,Aktif,27,45770.83,5.5
MUS0228,41,36-50,Antalya,KOBİ,Vadesiz Mevduat,ATM,12,8,Aktif,-3,47654.83,-10.9
