sube_kodu,il,ilce,bolge,sube_tipi,enlem,boylam,toplam_kredi_tl,takipteki_tutar_tl,npl_orani_pct,musteri_sayisi,risk_seviyesi,onceki_donem_npl,npl_degisim,npl_trendi
SB0045,Mersin,Mersin - Kuzey,Akdeniz,Mahalle Şube,36.8692,34.4868,55578189,4096113,7.37,13797,Yüksek,6.4,0.97,Artıyor
SB0046,Mersin,Mersin - Güney,Akdeniz,Merkez Şube,36.82,34.7029,85860167,6181932,7.2,2113,Yüksek,8.1,-0.9,Azalıyor
SB0047,Mersin,Mersin - Doğu,Akdeniz,Merkez Şube,36.9126,34.7346,108890573,5967203,5.48,4945,Yüksek,5.03,0.45,Artıyor
SB0048,Eskişehir,Eskişehir - Merkez,İç Anadolu,Mahalle Şube,39.745,30.4612,26317528,929009,3.53,984,Orta,4.44,-0.91,Azalıyor
SB0049,Eskişehir,Eskişehir - Kuzey,İç Anadolu,Mahalle Şube,39.7147,30.4081,62377600,3873649,6.21,1460,Yüksek,5.86,0.35,Artıyor
SB0050,Diyarbakır,Diyarbakır - Merkez,Güneydoğu,Mahalle Şube,37.8552,40.1804,48883141,4311493,8.82,1366,Kritik,8.52,0.3,Stabil
SB0051,Diyarbakır,Diyarbakır - Kuzey,Güneydoğu,Bölge Şube,37.9431,40.2444,98097626,8142103,8.3,13312,Kritik,9.17,-0.87,Azalıyor
SB0052,Diyarbakır,Diyarbakır - Güney,Güneydoğu,Bölge Şube,37.9817,40.2057,101047905,9296407,9.2,4532,Kritik,8.42,0.78,Artıyor
SB0053,Diyarbakır,Diyarbakır - Doğu,Güneydoğu,Bölge Şube,38.0575,40.1436,91947051,6105284,6.64,14620,Yüksek,6.8,-0.16,Stabil
SB0054,Diyarbakır,Diyarbakır - Batı,Güneydoğu,Bölge Şube,37.7613,40.3631,117428129,7527143,6.41,3744,Yüksek,6.72,-0.31,Azalıyor
SB0055,Diyarbakır,Diyarbakır - Merkez,Güneydoğu,Merkez Şube,38.0568,40.1564,82813289,7171631,8.66,3238,Kritik,7.47,1.19,Artıyor
SB0056,Samsun,Samsun - Merkez,Karadeniz,Mahalle Şube,41.2547,36.4775,64894027,2336185,3.6,10437,Orta,2.96,0.64,Artıyor
SB0057,Samsun,Samsun - Kuzey,Karadeniz,Bölge Şube,41.1756,36.4551,17213011,822782,4.78,3419,Orta,4.14,0.64,Artıyor
SB0058,Trabzon,Trabzon - Merkez,Karadeniz,Bölge Şube,40.9175,39.8244,63564113,3654936,5.75,13917,Yüksek,4.97,0.78,Artıyor
SB0059,Trabzon,Trabzon - Kuzey,Karadeniz,Bölge Şube,41.0764,39.6425,117863841,7130762,6.05,3549,Yüksek,6.41,-0.36,Azalıyor
SB0060,Trabzon,Trabzon - Güney,Karadeniz,Mahalle Şube,41.0952,39.8431,119161267,6518121,5.47,4645,Yüksek,4.85,0.62,Artıyor
SB0061,Trabzon,Trabzon - Doğu,Karadeniz,Merkez Şube,41.0611,39.6943,75380142,4183598,5.55,4758,Yüksek,4.95,0.6,Artıyor
SB0062,Trabzon,Trabzon - Batı,Karadeniz,Mahalle Şube,40.9553,39.6247,111496642,6477955,5.81,1426,Yüksek,5.66,0.15,Stabil
SB0063,Trabzon,Trabzon - Merkez,Karadeniz,Bölge Şube,40.9119,39.583,44306116,1789967,4.04,11807,Orta,3.45,0.59,Artıyor
SB0064,Erzurum,Erzurum - Merkez,Doğu Anadolu,Mahalle Şube,39.8436,41.3377,20311048,1206476,5.94,7177,Yüksek,5.08,0.86,Artıyor
SB0065,Erzurum,Erzurum - Kuzey,Doğu Anadolu,Bölge Şube,39.9143,41.1794,12483327,1132238,9.07,1245,Kritik,8.72,0.35,Artıyor
SB0066,Erzurum,Erzurum - Güney,Doğu Anadolu,Merkez Şube,39.9375,41.3704,55947616,3004387,5.37,6009,Yüksek,6.31,-0.94,Azalıyor
SB0067,Erzurum,Erzurum - Doğu,Doğu Anadolu,Merkez Şube,39.9165,41.3539,7890576,427669,5.42,4271,Yüksek,4.75,0.67,Artıyor
SB0068,Erzurum,Erzurum - Batı,Doğu Anadolu,Mahalle Şube,39.8318,41.4024,91571817,4853306,5.3,2667,Yüksek,5.68,-0.38,Azalıyor
SB0069,Erzurum,Erzurum - Merkez,Doğu Anadolu,Merkez Şube,39.9626,41.4118,54629084,3982460,7.29,9947,Yüksek,8.19,-0.9,Azalıyor
SB0070,Van,Van - Merkez,Doğu Anadolu,Mahalle Şube,38.4228,43.4436,113501552,6549040,5.77,9502,Yüksek,5.15,0.62,Artıyor
SB0071,Van,Van - Kuzey,Doğu Anadolu,Merkez Şube,38.4099,43.3278,18753101,1196448,6.38,5826,Yüksek,6.67,-0.29,Stabil
SB0072,Van,Van - Güney,Doğu Anadolu,Merkez Şube,38.4078,43.4295,75061743,4030816,5.37,12984,Yüksek,4.8,0.57,Artıyor
SB0073,Van,Van - Doğu,Doğu Anadolu,Bölge Şube,38.3806,43.2353,71328495,5963062,8.36,14022,Kritik,8.85,-0.49,Azalıyor
SB0074,Van,Van - Batı,Doğu Anadolu,Bölge Şube,38.5822,43.4564,73404557,6819283,9.29,10711,Kritik,9.75,-0.46,Azalıyor
SB0075,Van,Van - Merkez,Doğu Anadolu,Merkez Şube,38.6188,43.3495,32972791,1836584,5.57,5383,Yüksek,5.46,0.11,Stabil
SB0076,Malatya,Malatya - Merkez,Doğu Anadolu,Bölge Şube,38.5038,38.1845,7662540,420673,5.49,2169,Yüksek,5.81,-0.32,Azalıyor
SB0077,Malatya,Malatya - Kuzey,Doğu Anadolu,Bölge Şube,38.2627,38.424,93272069,7135313,7.65,1090,Yüksek,6.5,1.15,Artıyor
SB0078,Malatya,Malatya - Güney,Doğu Anadolu,Bölge Şube,38.2704,38.3593,19350581,1035256,5.35,7840,Yüksek,6.14,-0.79,Azalıyor
SB0079,Malatya,Malatya - Doğu,Doğu Anadolu,Bölge Şube,38.2599,38.1995,108873744,8775224,8.06,3703,Kritik,8.55,-0.49,Azalıyor
SB0080,Malatya,Malatya - Batı,Doğu Anadolu,Merkez Şube,38.2979,38.2144,61188606,4185301,6.84,2377,Yüksek,5.83,1.01,Artıyor
SB0081,Kocaeli,Kocaeli - Merkez,Marmara,Bölge Şube,40.6911,30.063,26247560,1236260,4.71,12721,Orta,3.81,0.9,Artıyor
SB0082,Kocaeli,Kocaeli - Kuzey,Marmara,Mahalle Şube,40.7975,29.788,68547201,2234639,3.26,5563,Orta,3.49,-0.23,Stabil
SB0083,Kocaeli,Kocaeli - Güney,Marmara,Merkez Şube,40.8698,30.0255,72324959,2119121,2.93,8138,Düşük,2.34,0.59,Artıyor
SB0084,Kocaeli,Kocaeli - Doğu,Marmara,Bölge Şube,40.8064,29.9048,25000704,615017,2.46,9162,Düşük,1.57,0.89,Artıyor
SB0085,Kocaeli,Kocaeli - Batı,Marmara,Mahalle Şube,40.685,29.8735,74262518,1470398,1.98,9905,Düşük,1.82,0.16,Stabil
SB0086,Kocaeli,Kocaeli - Merkez,Marmara,Merkez Şube,40.7879,29.8683,110415344,5112230,4.63,10314,Orta,5.33,-0.7,Azalıyor
SB0087,Denizli,Denizli - Merkez,Ege,Bölge Şube,37.6505,29.0734,16228534,376502,2.32,2243,Düşük,2.98,-0.66,Azalıyor
SB0088,Denizli,Denizli - Kuzey,Ege,Bölge Şube,37.6815,28.98,39603327,2031651,5.13,3638,Yüksek,5.91,-0.78,Azalıyor
SB0089,Şanlıurfa,Şanlıurfa - Merkez,Güneydoğu,Merkez Şube,37.2019,38.7471,117409454,7596392,6.47,7427,Yüksek,6.07,0.4,Artıyor
SB0090,Şanlıurfa,Şanlıurfa - Kuzey,Güneydoğu,Merkez Şube,37.1499,38.9399,69360219,5389289,7.77,6525,Yüksek,7.09,0.68,Artıyor
SB0091,Şanlıurfa,Şanlıurfa - Güney,Güneydoğu,Merkez Şube,37.0299,38.7475,79264391,7427073,9.37,4593,Kritik,10.21,-0.84,Azalıyor
