basvuru_id,kanal,urun_tipi,il,ay,yas,aylik_gelir_tl,talep_tutar_tl,kredi_skoru,basvuru,degerlendirme,onay,kullanim,son_asama,red_nedeni,degerlendirme_sure_gun,onay_sure_gun,toplam_sure_gun
BAS00043,İnternet,Taşıt Kredisi,Bursa,2024-01,45,37876,389661,686,1,1,0,0,Değerlendirme,Eksik Belge,2.7,,2.8
BAS00044,Şube,Konut Kredisi,Ankara,2024-10,40,21389,1737351,559,1,1,0,0,Değerlendirme,Yaş Sınırı,2.0,,2.4
BAS00045,Şube,İhtiyaç Kredisi,Konya,2024-12,46,20512,322718,448,1,1,1,1,Kullanım,,0.8,0.9,2.2
BAS00046,İnternet,Konut Kredisi,Bursa,2024-10,30,24198,1869110,451,1,1,1,0,Onaylandı,,2.0,1.1,3.5
BAS00047,Mobil,İhtiyaç Kredisi,Ankara,2024-10,27,8000,57677,437,1,0,0,0,Başvuru,,,,0.3
BAS00048,İnternet,İhtiyaç Kredisi,Adana,2024-03,33,18641,14933,480,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.9,,2.3
BAS00049,İnternet,Konut Kredisi,Bursa,2024-09,52,48195,1740944,676,1,0,0,0,Başvuru,,,,0.3
BAS00050,Mobil,İşletme Kredisi,Antalya,2024-01,52,45979,586058,585,1,1,1,1,Kullanım,,1.2,0.4,1.9
BAS00051,Şube,İşletme Kredisi,Ankara,2024-11,41,16983,571375,593,1,1,1,1,Kullanım,,1.2,0.7,2.4
BAS00052,Mobil,Taşıt Kredisi,Bursa,2024-04,31,17290,383522,536,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.2,,2.5
BAS00053,Şube,İhtiyaç Kredisi,Konya,2024-03,58,51274,130147,634,1,1,1,1,Kullanım,,1.6,0.5,2.4
BAS00054,Mobil,Konut Kredisi,Bursa,2024-05,60,9091,1671614,705,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,2.4,,2.9
BAS00055,Mobil,Taşıt Kredisi,Gaziantep,2024-09,27,18847,465204,424,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.0,,2.4
BAS00056,İnternet,İhtiyaç Kredisi,İstanbul,2024-08,51,48580,10000,612,1,0,0,0,Başvuru,,,,0.5
BAS00057,Şube,İşletme Kredisi,Gaziantep,2024-09,24,33744,529919,404,1,0,0,0,Başvuru,,,,0.2
BAS00058,Mobil,İhtiyaç Kredisi,İzmir,2024-05,34,14778,47583,544,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.4,,2.8
BAS00059,Mobil,İhtiyaç Kredisi,Konya,2024-05,26,17469,34794,510,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.6,,3.1
BAS00060,Şube,Taşıt Kredisi,İstanbul,2024-12,54,38269,346634,664,1,1,1,1,Kullanım,,0.7,0.2,1.3
BAS00061,Mobil,İhtiyaç Kredisi,Konya,2024-01,50,36636,88878,577,1,1,1,1,Kullanım,,1.8,1.4,3.6
BAS00062,Mobil,Taşıt Kredisi,İstanbul,2024-11,35,45393,304565,590,1,1,1,1,Kullanım,,1.1,0.9,2.1
BAS00063,Mobil,İşletme Kredisi,Adana,2024-04,23,55847,367232,497,1,0,0,0,Başvuru,,,,0.3
BAS00064,Çağrı Merkezi,Konut Kredisi,Gaziantep,2024-05,24,10935,1937971,439,1,0,0,0,Başvuru,,,,0.4
BAS00065,Çağrı Merkezi,İhtiyaç Kredisi,Konya,2024-08,41,19904,154688,550,1,1,1,1,Kullanım,,2.8,1.3,4.6
BAS00066,İnternet,İhtiyaç Kredisi,Gaziantep,2024-07,62,28861,241553,759,1,1,1,1,Kullanım,,1.8,1.9,3.8
BAS00067,İnternet,İhtiyaç Kredisi,Bursa,2024-02,45,24454,121361,677,1,1,1,1,Kullanım,,2.1,1.1,3.7
BAS00068,Şube,Konut Kredisi,Adana,2024-09,59,31815,1731416,633,1,1,0,0,Değerlendirme,Eksik Belge,1.2,,1.6
BAS00069,Mobil,İhtiyaç Kredisi,İstanbul,2024-06,41,44935,10000,606,1,1,1,1,Kullanım,,1.8,0.6,2.5
BAS00070,Mobil,İhtiyaç Kredisi,Adana,2024-12,53,38956,160658,701,1,1,1,1,Kullanım,,1.9,0.9,3.0
BAS00071,Şube,İşletme Kredisi,İstanbul,2024-05,20,12465,536134,545,1,1,1,1,Kullanım,,0.8,0.2,1.4
BAS00072,İnternet,İhtiyaç Kredisi,Konya,2024-05,24,25096,164484,393,1,1,1,1,Kullanım,,2.8,0.5,3.7
BAS00073,Mobil,Konut Kredisi,Bursa,2024-05,26,36309,1874273,509,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.8,,2.2
BAS00074,Çağrı Merkezi,İhtiyaç Kredisi,Antalya,2024-08,42,42235,195180,732,1,0,0,0,Başvuru,,,,0.2
BAS00075,İnternet,İhtiyaç Kredisi,Gaziantep,2024-11,24,20683,55917,468,1,0,0,0,Başvuru,,,,0.1
BAS00076,Mobil,İşletme Kredisi,Antalya,2024-01,53,16336,538370,768,1,1,1,1,Kullanım,,1.7,1.1,3.0
BAS00077,Mobil,İhtiyaç Kredisi,Ankara,2024-12,24,40775,10000,434,1,1,1,1,Kullanım,,2.0,0.9,3.2
BAS00078,İnternet,İhtiyaç Kredisi,Gaziantep,2024-05,24,38464,203531,529,1,0,0,0,Başvuru,,,,0.5
BAS00079,Şube,İhtiyaç Kredisi,Bursa,2024-07,30,17716,103504,500,1,1,0,0,Değerlendirme,Yaş Sınırı,1.4,,1.9
BAS00080,Şube,İhtiyaç Kredisi,İstanbul,2024-12,20,8000,347738,454,1,1,0,0,Değerlendirme,Yaş Sınırı,2.0,,2.4
BAS00081,Şube,Taşıt Kredisi,Adana,2024-05,28,32963,366556,550,1,1,1,1,Kullanım,,1.4,0.8,2.4
BAS00082,İnternet,Konut Kredisi,Adana,2024-04,44,46783,1856792,529,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.3,,1.5
BAS00083,Mobil,İhtiyaç Kredisi,Antalya,2024-11,55,15798,33822,598,1,1,1,0,Onaylandı,,1.6,0.6,2.6
BAS00084,Çağrı Merkezi,İhtiyaç Kredisi,Antalya,2024-03,41,39431,216192,466,1,0,0,0,Başvuru,,,,0.3
BAS00085,Şube,Taşıt Kredisi,Gaziantep,2024-09,38,47679,462013,684,1,1,1,1,Kullanım,,1.3,0.5,2.0
BAS00086,Mobil,İhtiyaç Kredisi,Ankara,2024-06,57,33873,57900,654,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.3,,2.5
BAS00087,İnternet,İhtiyaç Kredisi,Adana,2024-04,35,15131,13931,472,1,1,1,1,Kullanım,,0.6,0.9,1.8
BAS00088,Mobil,Taşıt Kredisi,Bursa,2024-08,48,25126,293469,712,1,1,1,1,Kullanım,,0.5,0.8,1.5
BAS00089,Mobil,Taşıt Kredisi,İzmir,2024-08,23,8875,402315,549,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.5,,2.9
BAS00090,Mobil,Konut Kredisi,Bursa,2024-03,20,22527,1860563,471,1,1,1,1,Kullanım,,2.1,1.0,3.2
BAS00091,Mobil,Konut Kredisi,İzmir,2024-04,50,8000,1644888,645,1,1,0,0,Değerlendirme,Yaş Sınırı,2.0,,2.3
BAS00092,Mobil,İhtiyaç Kredisi,Bursa,2024-03,37,36931,116888,569,1,0,0,0,Başvuru,,,,0.2
BAS00093,Çağrı Merkezi,Taşıt Kredisi,Gaziantep,2024-02,62,44611,480365,637,1,1,0,0,Değerlendirme,Eksik Belge,2.3,,2.6
BAS00094,Mobil,Taşıt Kredisi,Adana,2024-07,41,26776,366646,539,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.4,,1.5
BAS00095,Şube,İhtiyaç Kredisi,Ankara,2024-04,51,23394,127665,515,1,1,1,1,Kullanım,,0.6,0.6,1.4
BAS00096,Mobil,Konut Kredisi,İzmir,2024-02,62,11585,1849413,603,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.4,,1.7
BAS00097,Mobil,Konut Kredisi,Konya,2024-09,38,18716,1801957,524,1,1,0,0,Değerlendirme,Yaş Sınırı,1.2,,1.5
BAS00098,Şube,İşletme Kredisi,İstanbul,2024-09,45,12409,408050,425,1,1,1,0,Onaylandı,,2.2,0.6,3.1
BAS00099,Şube,Konut Kredisi,Gaziantep,2024-08,42,26919,1755072,513,1,1,1,0,Onaylandı,,1.0,0.5,1.8
BAS00100,Şube,İhtiyaç Kredisi,Konya,2024-11,36,40597,185748,485,1,1,1,1,Kullanım,,1.6,0.4,2.2
BAS00101,İnternet,İşletme Kredisi,Konya,2024-11,57,36342,348000,761,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.8,,2.2
BAS00102,Mobil,İhtiyaç Kredisi,Konya,2024-12,57,40984,93472,667,1,1,1,1,Kullanım,,1.8,0.5,2.7
BAS00103,İnternet,Taşıt Kredisi,Bursa,2024-01,22,41101,285743,378,1,0,0,0,Başvuru,,,,0.5
BAS00104,İnternet,Konut Kredisi,Bursa,2024-10,24,19120,1680906,364,1,1,1,1,Kullanım,,1.9,0.6,2.7
BAS00105,Şube,İhtiyaç Kredisi,Ankara,2024-09,51,17470,82426,728,1,1,0,0,Değerlendirme,Teminat Yetersiz,0.5,,0.8
BAS00106,Mobil,Konut Kredisi,Adana,2024-12,33,48023,1812467,536,1,1,0,0,Değerlendirme,Yaş Sınırı,1.5,,1.9
BAS00107,Şube,Konut Kredisi,Antalya,2024-03,44,28526,1642406,609,1,1,1,1,Kullanım,,1.7,0.4,2.3
BAS00108,İnternet,İhtiyaç Kredisi,Konya,2024-12,59,44638,127121,598,1,1,0,0,Değerlendirme,Yaş Sınırı,1.6,,2.0
BAS00109,Mobil,İhtiyaç Kredisi,İstanbul,2024-12,35,31940,99719,448,1,1,1,0,Onaylandı,,2.4,0.6,3.3
BAS00110,Şube,İhtiyaç Kredisi,Gaziantep,2024-01,61,26092,125672,606,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,0.8,,1.0
BAS00111,Mobil,İhtiyaç Kredisi,İstanbul,2024-01,25,47223,111391,497,1,0,0,0,Başvuru,,,,0.3
BAS00112,Mobil,İhtiyaç Kredisi,Ankara,2024-04,38,41825,24346,729,1,1,1,1,Kullanım,,2.3,1.1,3.5
BAS00113,Mobil,Taşıt Kredisi,Bursa,2024-01,33,33529,478659,423,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,2.2,,2.6
BAS00114,İnternet,İhtiyaç Kredisi,Adana,2024-07,53,35977,52073,683,1,1,1,1,Kullanım,,2.5,1.1,3.7
BAS00115,Mobil,İhtiyaç Kredisi,Adana,2024-08,26,24123,80568,379,1,1,1,1,Kullanım,,1.2,0.2,1.7
BAS00116,Şube,Konut Kredisi,Konya,2024-05,24,33313,1750707,493,1,1,1,1,Kullanım,,1.0,0.6,1.9
BAS00117,Mobil,İhtiyaç Kredisi,İzmir,2024-03,52,48570,120971,716,1,1,1,1,Kullanım,,2.2,0.5,2.9
BAS00118,Mobil,Konut Kredisi,Adana,2024-04,49,34865,1741029,542,1,0,0,0,Başvuru,,,,0.4
BAS00119,İnternet,İhtiyaç Kredisi,Konya,2024-11,47,34608,254388,512,1,1,1,1,Kullanım,,1.5,1.1,3.0
BAS00120,Şube,İşletme Kredisi,Bursa,2024-07,57,39976,520369,696,1,1,0,0,Değerlendirme,Yaş Sınırı,2.0,,2.1
BAS00121,Şube,Konut Kredisi,Bursa,2024-12,53,24794,1919221,597,1,1,1,1,Kullanım,,1.5,0.3,1.9
BAS00122,Mobil,İhtiyaç Kredisi,Adana,2024-04,57,23544,106408,643,1,1,1,0,Onaylandı,,2.6,0.7,3.4
BAS00123,Çağrı Merkezi,İhtiyaç Kredisi,Adana,2024-02,55,36497,71759,710,1,0,0,0,Başvuru,,,,0.2
BAS00124,Mobil,İhtiyaç Kredisi,İzmir,2024-10,35,8000,10000,380,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.5,,1.7
BAS00125,Şube,Konut Kredisi,Ankara,2024-09,47,8000,1868939,600,1,1,1,1,Kullanım,,1.0,0.7,2.1
BAS00126,Mobil,İhtiyaç Kredisi,Konya,2024-11,61,42345,91091,751,1,1,1,1,Kullanım,,1.6,0.5,2.4
BAS00127,Mobil,İşletme Kredisi,Bursa,2024-07,32,54966,453797,628,1,1,0,0,Değerlendirme,Eksik Belge,1.9,,2.3
BAS00128,Çağrı Merkezi,İşletme Kredisi,Ankara,2024-07,34,39701,504961,661,1,0,0,0,Başvuru,,,,0.2
BAS00129,Mobil,İhtiyaç Kredisi,Ankara,2024-05,60,14747,10000,678,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,2.1,,2.2
BAS00130,İnternet,İhtiyaç Kredisi,Konya,2024-08,51,18120,10000,687,1,1,1,1,Kullanım,,2.6,0.7,3.7
BAS00131,Mobil,İhtiyaç Kredisi,Konya,2024-09,32,44178,10000,564,1,0,0,0,Başvuru,,,,0.5
BAS00132,İnternet,İhtiyaç Kredisi,İstanbul,2024-02,41,37917,253785,651,1,1,1,1,Kullanım,,2.1,0.6,3.1
BAS00133,Mobil,İhtiyaç Kredisi,İzmir,2024-01,25,18585,83473,434,1,0,0,0,Başvuru,,,,0.3
BAS00134,İnternet,İşletme Kredisi,Konya,2024-08,54,20355,382953,660,1,1,1,0,Onaylandı,,1.4,0.8,2.6
BAS00135,Mobil,İhtiyaç Kredisi,İstanbul,2024-02,38,42715,131020,508,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.4,,1.8
BAS00136,Şube,Konut Kredisi,İzmir,2024-10,55,46444,1666927,813,1,1,1,0,Onaylandı,,1.2,0.6,1.9
BAS00137,İnternet,Taşıt Kredisi,Adana,2024-07,36,53750,326671,586,1,1,1,1,Kullanım,,1.8,0.8,2.9
BAS00138,İnternet,İhtiyaç Kredisi,Konya,2024-11,30,21512,182962,430,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.8,,1.9
BAS00139,İnternet,İşletme Kredisi,Antalya,2024-01,35,39028,515361,665,1,0,0,0,Başvuru,,,,0.3
BAS00140,Mobil,İhtiyaç Kredisi,Ankara,2024-01,36,37523,172418,673,1,1,0,0,Değerlendirme,Eksik Belge,1.7,,2.1
BAS00141,Şube,Konut Kredisi,Konya,2024-10,61,36078,1634125,674,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,0.9,,1.3
BAS00142,Şube,Taşıt Kredisi,Ankara,2024-08,20,43633,298701,519,1,1,1,1,Kullanım,,1.1,0.1,1.4
BAS00143,İnternet,Konut Kredisi,Antalya,2024-06,54,29043,1751009,771,1,1,0,0,Değerlendirme,Teminat Yetersiz,2.3,,2.7
BAS00144,İnternet,Taşıt Kredisi,İstanbul,2024-10,57,25216,365422,588,1,1,1,1,Kullanım,,2.2,0.4,3.1
BAS00145,Şube,İhtiyaç Kredisi,Gaziantep,2024-03,61,13618,137144,637,1,1,1,1,Kullanım,,1.1,0.3,1.8
BAS00146,Çağrı Merkezi,Taşıt Kredisi,İzmir,2024-09,52,20048,212644,721,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.7,,1.8
BAS00147,Mobil,İşletme Kredisi,Gaziantep,2024-10,55,24940,353910,617,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,1.6,,1.9
BAS00148,Mobil,İhtiyaç Kredisi,Ankara,2024-01,22,36160,90837,613,1,0,0,0,Başvuru,,,,0.3
BAS00149,Şube,Taşıt Kredisi,Adana,2024-02,60,23727,276113,665,1,1,0,0,Değerlendirme,Düşük Kredi Skoru,0.8,,1.0
BAS00150,İnternet,İhtiyaç Kredisi,İzmir,2024-04,32,38105,130462,591,1,1,1,1,Kullanım,,1.5,1.0,2.9
BAS00151,Mobil,İşletme Kredisi,Gaziantep,2024-08,61,33077,392871,630,1,1,0,0,Değerlendirme,Yüksek Borç/Gelir,2.9,,3.2
BAS00152,Şube,Taşıt Kredisi,Adana,2024-09,57,31135,355377,605,1,1,1,1,Kullanım,,1.8,-0.0,2.3
BAS00153,Mobil,Konut Kredisi,Konya,2024-01,24,35044,1778067,437,1,1,0,0,Değerlendirme,Yaş Sınırı,2.7,,2.8
BAS00154,İnternet,İhtiyaç Kredisi,Konya,2024-05,26,40378,46326,459,1,0,0,0,Başvuru,,,,0.3
BAS00155,İnternet,Konut Kredisi,Ankara,2024-11,22,40570,1732810,438,1,1,1,1,Kullanım,,2.1,0.9,3.2
BAS00156,İnternet,İşletme Kredisi,İzmir,2024-01,36,24826,459309,594,1,1,1,1,Kullanım,,1.0,0.7,1.8
BAS00157,İnternet,İhtiyaç Kredisi,Bursa,2024-04,53,33106,154395,549,1,1,0,0,Değerlendirme,Eksik Belge,1.3,,1.7
BAS00158,Şube,Taşıt Kredisi,Gaziantep,2024-04,35,20276,381146,559,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.1,,1.4
BAS00159,Mobil,İşletme Kredisi,Adana,2024-10,55,25683,502125,602,1,0,0,0,Başvuru,,,,0.4
BAS00160,Çağrı Merkezi,Taşıt Kredisi,İstanbul,2024-04,44,24849,343215,606,1,0,0,0,Başvuru,,,,0.3
BAS00161,İnternet,İhtiyaç Kredisi,Ankara,2024-09,21,20338,190124,436,1,1,1,1,Kullanım,,1.7,0.2,2.3
BAS00162,Şube,İhtiyaç Kredisi,İzmir,2024-03,34,56004,38740,507,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.0,,1.4
BAS00163,Mobil,Taşıt Kredisi,Gaziantep,2024-05,57,21309,445619,612,1,1,1,1,Kullanım,,2.3,0.5,3.1
BAS00164,Mobil,Taşıt Kredisi,Gaziantep,2024-05,54,38198,228720,604,1,1,1,1,Kullanım,,1.6,0.8,2.8
BAS00165,Şube,İşletme Kredisi,Bursa,2024-04,22,19505,408123,357,1,1,1,1,Kullanım,,1.5,0.4,2.3
BAS00166,İnternet,Taşıt Kredisi,Antalya,2024-12,40,41766,377260,428,1,0,0,0,Başvuru,,,,0.3
BAS00167,Şube,İhtiyaç Kredisi,Konya,2024-07,29,29737,181309,383,1,1,1,1,Kullanım,,0.9,0.7,2.1
BAS00168,Mobil,Taşıt Kredisi,Ankara,2024-12,44,42957,396702,687,1,0,0,0,Başvuru,,,,0.2
BAS00169,Mobil,Konut Kredisi,İstanbul,2024-09,56,26338,1826080,402,1,1,1,1,Kullanım,,2.6,0.4,3.3
BAS00170,İnternet,İhtiyaç Kredisi,Gaziantep,2024-10,36,32358,106590,595,1,1,1,1,Kullanım,,1.7,1.0,3.1
BAS00171,Şube,Konut Kredisi,Konya,2024-09,28,8000,1875778,440,1,1,0,0,Değerlendirme,Eksik Belge,1.4,,1.8
BAS00172,Mobil,İhtiyaç Kredisi,Konya,2024-11,25,35593,108218,644,1,0,0,0,Başvuru,,,,0.3
BAS00173,Şube,İhtiyaç Kredisi,Adana,2024-09,20,23682,81255,425,1,1,1,0,Onaylandı,,0.9,0.6,1.7
BAS00174,Mobil,İhtiyaç Kredisi,Gaziantep,2024-05,26,42561,69714,459,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.8,,2.1
BAS00175,Mobil,İhtiyaç Kredisi,Konya,2024-02,48,26140,119104,646,1,0,0,0,Başvuru,,,,0.2
BAS00176,İnternet,Konut Kredisi,Antalya,2024-05,30,36213,1797498,526,1,1,1,1,Kullanım,,1.3,0.9,2.7
BAS00177,Çağrı Merkezi,Konut Kredisi,Bursa,2024-03,58,21362,1902291,510,1,0,0,0,Başvuru,,,,0.3
BAS00178,Şube,İhtiyaç Kredisi,Bursa,2024-08,24,24368,163469,447,1,1,1,1,Kullanım,,1.5,0.4,2.3
BAS00179,Mobil,İhtiyaç Kredisi,İstanbul,2024-12,39,41327,67333,419,1,1,1,1,Kullanım,,2.2,0.9,3.3
BAS00180,Mobil,İhtiyaç Kredisi,İstanbul,2024-06,62,34815,159197,598,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,1.9,,2.1
BAS00181,Mobil,İhtiyaç Kredisi,Bursa,2024-08,34,8000,134618,511,1,1,0,0,Değerlendirme,Gelir Doğrulanamadı,0.8,,1.0
BAS00182,Şube,Taşıt Kredisi,Gaziantep,2024-06,28,27121,541655,459,1,1,1,1,Kullanım,,1.8,0.6,2.6
BAS00183,Mobil,İşletme Kredisi,Ankara,2024-11,53,22003,530618,530,1,0,0,0,Başvuru,,,,0.1
BAS00184,Şube,Konut Kredisi,İstanbul,2024-10,54,37354,1829493,731,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.3,,1.6
BAS00185,Şube,Taşıt Kredisi,Konya,2024-05,50,38066,485101,788,1,1,1,1,Kullanım,,0.2,0.4,0.9
BAS00186,Mobil,İhtiyaç Kredisi,İstanbul,2024-07,34,51976,55804,491,1,1,1,0,Onaylandı,,1.1,1.0,2.3
BAS00187,Şube,Konut Kredisi,İzmir,2024-10,36,39190,1736531,516,1,1,1,1,Kullanım,,1.2,0.2,1.8
BAS00188,Mobil,İşletme Kredisi,Gaziantep,2024-06,56,22951,504769,723,1,1,0,0,Değerlendirme,Eksik Belge,1.8,,2.0
BAS00189,Mobil,Konut Kredisi,Antalya,2024-12,44,37109,1784374,520,1,1,1,1,Kullanım,,1.8,0.5,2.6
BAS00190,Mobil,Taşıt Kredisi,Antalya,2024-10,61,34626,429997,645,1,1,1,1,Kullanım,,2.0,0.8,3.0
BAS00191,Mobil,Konut Kredisi,Bursa,2024-04,55,15447,1754967,619,1,1,0,0,Değerlendirme,Teminat Yetersiz,1.3,,1.7
