islem_id,musteri_id,tarih_saat,gun_adi,saat,gece_mi,kategori,kanal,tutar_tl,musteri_ort_islem_tl,sapma_pct,sehir,yurtdisi_mi,z_skoru,risk_skoru,fraud_flag,fraud_tipi
TXN004682,MUS0251,2024-07-29 13:30:00,Pazartesi,13,0,Uluslararası,Fiziksel Kart,126.95,244.71,-48.1,Kayseri,0,0.44,3,0,normal
TXN003217,MUS0458,2024-07-31 20:23:00,Çarşamba,20,0,Yakıt,ATM,328.39,312.9,5.0,Mersin,0,1.11,20,0,normal
TXN001557,MUS0456,2024-03-31 01:47:00,Pazar,1,1,Sağlık,Fiziksel Kart,164.69,165.88,-0.7,Bursa,0,1.15,8,0,normal
TXN004142,MUS0294,2024-05-31 21:35:00,Cuma,21,0,Döviz,Temassız,288.11,276.81,4.1,Adana,0,0.66,12,0,normal
TXN002984,MUS0238,2024-09-25 01:54:00,Çarşamba,1,1,Ulaşım,Fiziksel Kart,1022.37,749.47,36.4,Mersin,0,0.81,9,0,normal
TXN004660,MUS0641,2024-03-11 17:37:00,Pazartesi,17,0,Restoran,Fiziksel Kart,810.13,716.72,13.0,Antalya,0,1.02,6,0,normal
TXN004570,MUS0195,2024-11-04 12:49:00,Pazartesi,12,0,Restoran,Temassız,365.49,290.67,25.7,Ankara,0,0.95,8,0,normal
TXN001337,MUS0672,2024-12-15 23:02:00,Pazar,23,1,Sağlık,Fiziksel Kart,328.11,701.4,-53.2,Mersin,0,0.35,11,0,normal
TXN002291,MUS0297,2024-01-10 23:07:00,Çarşamba,23,1,Market,Fiziksel Kart,304.02,251.88,20.7,Mersin,0,1.47,24,0,normal
TXN002365,MUS0435,2024-02-27 08:18:00,Salı,8,0,Ulaşım,Fiziksel Kart,348.5,330.25,5.5,Adana,0,1.73,12,0,normal
TXN000469,MUS0433,2024-10-09 05:57:00,Çarşamba,5,1,Uluslararası,Online,429.48,557.43,-23.0,Adana,0,0.29,5,0,normal
TXN002734,MUS0417,2024-07-11 22:54:00,Perşembe,22,0,Eğlence,Online,528.65,513.39,3.0,Gaziantep,0,1.5,14,0,normal
TXN004809,MUS0772,2024-04-07 22:27:00,Pazar,22,0,Yakıt,ATM,84.6,100.59,-15.9,Samsun,0,0.23,12,0,normal
TXN000440,MUS0552,2024-12-30 21:11:00,Pazartesi,21,0,Yakıt,Online,649.32,587.88,10.5,İzmir,0,0.09,0,0,normal
TXN001707,MUS0717,2024-07-12 23:21:00,Cuma,23,1,Online Alışveriş,Temassız,147.8,520.91,-71.6,Bursa,0,0.5,13,0,normal
TXN002641,MUS0006,2024-03-09 19:34:00,Cumartesi,19,0,Uluslararası,Online,84.9,99.17,-14.4,Bursa,0,1.12,9,0,normal
TXN000011,MUS0095,2024-07-22 11:33:00,Pazartesi,11,0,Online Alışveriş,Temassız,641.51,406.48,57.8,Ankara,0,1.37,15,0,normal
TXN003461,MUS0158,2024-02-05 02:22:00,Pazartesi,2,1,Restoran,Fiziksel Kart,378.97,255.9,48.1,Konya,0,0.04,3,0,normal
TXN002198,MUS0571,2024-08-30 21:51:00,Cuma,21,0,Elektronik,Fiziksel Kart,197.47,278.68,-29.1,Konya,0,0.11,0,0,normal
TXN000187,MUS0792,2024-09-06 09:29:00,Cuma,9,0,Sağlık,Telefon,386.46,666.57,-42.0,Gaziantep,0,0.22,0,0,normal
TXN003505,MUS0190,2024-04-05 00:32:00,Cuma,0,1,Elektronik,Online,1068.82,716.37,49.2,Kayseri,0,0.29,7,0,normal
TXN002369,MUS0140,2024-08-10 05:43:00,Cumartesi,5,1,Ulaşım,Fiziksel Kart,282.53,371.03,-23.9,İzmir,0,0.35,4,0,normal
TXN000272,MUS0610,2024-01-16 06:18:00,Salı,6,0,Yakıt,Temassız,670.13,776.12,-13.7,Antalya,0,0.73,6,0,normal
TXN003394,MUS0570,2024-11-29 09:41:00,Cuma,9,0,Ulaşım,Temassız,376.77,270.38,39.3,Ankara,0,0.71,16,0,normal
TXN002250,MUS0520,2024-04-14 20:36:00,Pazar,20,0,Ulaşım,Fiziksel Kart,291.82,393.04,-25.8,Kayseri,0,0.58,15,0,normal
TXN002099,MUS0525,2024-09-23 00:44:00,Pazartesi,0,1,Ulaşım,Fiziksel Kart,655.42,661.63,-0.9,Konya,0,0.36,1,0,normal
TXN001099,MUS0242,2024-08-05 22:55:00,Pazartesi,22,0,Elektronik,Online,142.93,120.25,18.9,İstanbul,0,0.13,0,0,normal
TXN002995,MUS0701,2024-02-23 01:09:00,Cuma,1,1,Online Alışveriş,Telefon,405.05,373.45,8.5,Samsun,0,0.03,0,0,normal
TXN002958,MUS0779,2024-04-08 23:21:00,Pazartesi,23,1,Market,ATM,144.82,158.08,-8.4,İstanbul,0,1.14,8,0,normal
TXN001452,MUS0776,2024-09-15 12:28:00,Pazar,12,0,Sağlık,Online,429.27,570.38,-24.7,Bursa,0,1.4,19,0,normal
TXN000679,MUS0020,2024-04-05 13:24:00,Cuma,13,0,Market,Temassız,146.48,80.24,82.6,Samsun,0,0.23,11,0,normal
TXN001070,MUS0570,2024-12-06 04:33:00,Cuma,4,1,Döviz,Fiziksel Kart,427.01,270.38,57.9,Ankara,0,0.82,7,0,normal
TXN000807,MUS0697,2024-11-29 07:56:00,Cuma,7,0,Yakıt,Fiziksel Kart,783.52,589.03,33.0,Kayseri,0,0.67,13,0,normal
TXN000506,MUS0029,2024-11-30 10:29:00,Cumartesi,10,0,Ulaşım,Fiziksel Kart,394.49,605.64,-34.9,Adana,0,0.11,0,0,normal
TXN004392,MUS0691,2024-01-31 19:19:00,Çarşamba,19,0,Giyim,Online,1172.27,797.68,47.0,Ankara,0,1.26,7,0,normal
TXN001026,MUS0766,2024-06-30 17:39:00,Pazar,17,0,Restoran,Online,835.09,720.45,15.9,Gaziantep,0,0.86,6,0,normal
TXN003512,MUS0203,2024-06-30 15:02:00,Pazar,15,0,Yakıt,Fiziksel Kart,223.77,315.46,-29.1,İzmir,0,0.69,15,0,normal
TXN000463,MUS0519,2024-12-03 05:25:00,Salı,5,1,Yakıt,Fiziksel Kart,736.63,499.23,47.6,Antalya,0,0.57,5,0,normal
TXN003905,MUS0410,2024-09-04 15:20:00,Çarşamba,15,0,Yakıt,Online,202.42,128.02,58.1,Konya,0,0.2,0,0,normal
TXN004941,MUS0058,2024-02-07 10:57:00,Çarşamba,10,0,Giyim,Fiziksel Kart,650.47,671.12,-3.1,İzmir,0,1.46,21,0,normal
TXN004281,MUS0156,2024-11-21 20:25:00,Perşembe,20,0,Yakıt,Fiziksel Kart,78.22,158.07,-50.5,Bursa,0,0.35,9,0,normal
TXN000318,MUS0773,2024-03-03 06:18:00,Pazar,6,0,Ulaşım,ATM,545.92,425.78,28.2,Eskişehir,0,0.62,2,0,normal
TXN004425,MUS0024,2024-02-08 03:41:00,Perşembe,3,1,Online Alışveriş,Temassız,490.53,574.91,-14.7,Bursa,0,0.17,11,0,normal
TXN004224,MUS0448,2024-12-01 13:51:00,Pazar,13,0,Market,Online,292.04,442.99,-34.1,Antalya,0,0.02,0,0,normal
TXN000756,MUS0404,2024-10-29 07:20:00,Salı,7,0,Online Alışveriş,Temassız,1271.29,765.8,66.0,Konya,0,0.44,0,0,normal
TXN000033,MUS0231,2024-11-25 21:29:00,Pazartesi,21,0,Eğlence,Fiziksel Kart,80.6,94.28,-14.5,Mersin,0,1.31,9,0,normal
TXN000215,MUS0131,2024-09-28 12:27:00,Cumartesi,12,0,Elektronik,Fiziksel Kart,588.98,730.35,-19.4,Konya,0,0.17,6,0,normal
TXN004583,MUS0459,2024-12-18 17:08:00,Çarşamba,17,0,Uluslararası,Online,403.22,280.46,43.8,İzmir,0,1.49,16,0,normal
TXN004641,MUS0489,2024-05-24 03:14:00,Cuma,3,1,Uluslararası,Fiziksel Kart,923.96,778.87,18.6,Konya,0,0.9,4,0,normal
TXN002106,MUS0294,2024-05-27 03:16:00,Pazartesi,3,1,Online Alışveriş,Fiziksel Kart,669.1,276.81,141.7,Eskişehir,0,4.57,87,1,farkli_sehir
TXN003870,MUS0029,2024-11-28 12:44:00,Perşembe,12,0,Online Alışveriş,Fiziksel Kart,494.75,605.64,-18.3,Adana,0,0.6,14,0,normal
TXN001610,MUS0606,2024-04-18 18:43:00,Perşembe,18,0,Döviz,Temassız,81.41,297.79,-72.7,Kayseri,0,1.04,19,0,normal
TXN004251,MUS0321,2024-03-27 16:28:00,Çarşamba,16,0,Uluslararası,Fiziksel Kart,130.97,393.11,-66.7,Gaziantep,0,0.34,1,0,normal
TXN003540,MUS0623,2024-03-01 01:43:00,Cuma,1,1,Uluslararası,Fiziksel Kart,437.46,625.6,-30.1,İzmir,0,0.26,10,0,normal
TXN004994,MUS0341,2024-10-01 06:43:00,Salı,6,0,Uluslararası,Fiziksel Kart,4978.73,200.52,2382.9,Gaziantep,0,6.75,88,1,yuksek_tutar
TXN003504,MUS0156,2024-03-18 14:44:00,Pazartesi,14,0,Giyim,Temassız,149.15,158.07,-5.6,Bursa,0,0.37,0,0,normal
TXN001818,MUS0658,2024-10-20 19:57:00,Pazar,19,0,Online Alışveriş,Online,8.7,116.62,-92.5,Mersin,0,3.29,78,1,kart_test
TXN001236,MUS0794,2024-12-25 09:00:00,Çarşamba,9,0,Yakıt,Online,640.14,497.76,28.6,Bangkok,1,0.59,3,0,normal
TXN000603,MUS0076,2024-07-02 12:25:00,Salı,12,0,Uluslararası,Fiziksel Kart,935.62,743.5,25.8,Samsun,0,0.15,0,0,normal
TXN004758,MUS0265,2024-03-13 21:07:00,Çarşamba,21,0,Uluslararası,Online,231.27,260.92,-11.4,Ankara,0,0.9,18,0,normal
TXN003351,MUS0406,2024-06-09 21:12:00,Pazar,21,0,Online Alışveriş,Temassız,429.92,755.25,-43.1,Eskişehir,0,1.03,10,0,normal
TXN003630,MUS0332,2024-11-15 07:23:00,Cuma,7,0,Elektronik,Online,4383.33,791.81,453.6,Bangkok,1,4.39,84,1,yurtdisi_anomali
TXN004622,MUS0559,2024-12-21 03:02:00,Cumartesi,3,1,Ulaşım,ATM,706.73,511.75,38.1,Kayseri,0,0.91,6,0,normal
TXN004321,MUS0137,2024-11-22 20:39:00,Cuma,20,0,Sağlık,Fiziksel Kart,376.75,250.34,50.5,Kayseri,0,0.07,7,0,normal
TXN002129,MUS0064,2024-06-04 02:48:00,Salı,2,1,Market,Temassız,569.53,723.51,-21.3,Kayseri,0,0.37,6,0,normal
TXN004146,MUS0655,2024-08-16 02:55:00,Cuma,2,1,Restoran,Telefon,441.78,511.81,-13.7,Bursa,0,1.51,23,0,normal
TXN002298,MUS0372,2024-07-05 04:22:00,Cuma,4,1,Eğlence,Online,465.81,332.8,40.0,İzmir,0,0.51,5,0,normal
TXN001780,MUS0442,2024-04-28 03:27:00,Pazar,3,1,Giyim,Fiziksel Kart,81.95,101.1,-18.9,Konya,0,0.32,2,0,normal
TXN003664,MUS0083,2024-07-28 05:21:00,Pazar,5,1,Market,Online,309.31,468.0,-33.9,Antalya,0,1.75,15,0,normal
TXN002166,MUS0141,2024-02-14 09:57:00,Çarşamba,9,0,Online Alışveriş,ATM,247.56,528.43,-53.2,Gaziantep,0,0.09,0,0,normal
TXN002732,MUS0338,2024-09-08 00:32:00,Pazar,0,1,Restoran,Temassız,101.13,137.01,-26.2,Eskişehir,0,0.31,4,0,normal
TXN004399,MUS0298,2024-09-07 05:55:00,Cumartesi,5,1,Eğlence,ATM,507.43,521.36,-2.7,İzmir,0,0.7,4,0,normal
TXN000433,MUS0699,2024-01-09 13:54:00,Salı,13,0,Yakıt,Online,368.42,535.52,-31.2,Konya,0,1.58,18,0,normal
TXN003777,MUS0689,2024-12-21 18:54:00,Cumartesi,18,0,Online Alışveriş,Telefon,575.62,469.79,22.5,Mersin,0,0.68,12,0,normal
TXN003316,MUS0175,2024-08-25 15:53:00,Pazar,15,0,Market,Telefon,438.29,673.27,-34.9,İstanbul,0,1.61,11,0,normal
TXN002088,MUS0566,2024-06-10 02:16:00,Pazartesi,2,1,Döviz,Temassız,182.42,193.06,-5.5,Samsun,0,0.11,11,0,normal
TXN004776,MUS0610,2024-04-29 13:49:00,Pazartesi,13,0,Ulaşım,Online,1040.09,776.12,34.0,Antalya,0,1.41,14,0,normal
TXN003791,MUS0142,2024-06-10 18:00:00,Pazartesi,18,0,Sağlık,Online,113.1,211.47,-46.5,İstanbul,0,0.7,11,0,normal
TXN004763,MUS0457,2024-11-14 09:14:00,Perşembe,9,0,Eğlence,Online,843.56,488.61,72.6,İstanbul,0,1.47,20,0,normal
TXN001696,MUS0522,2024-03-04 05:25:00,Pazartesi,5,1,Eğlence,Fiziksel Kart,341.9,734.17,-53.4,İstanbul,0,0.31,8,0,normal
TXN003290,MUS0357,2024-10-18 09:35:00,Cuma,9,0,Online Alışveriş,Online,182.33,381.21,-52.2,Eskişehir,0,0.0,0,0,normal
TXN000519,MUS0379,2024-05-21 00:10:00,Salı,0,1,Elektronik,Online,188.66,271.21,-30.4,Ankara,0,0.54,5,0,normal
TXN002161,MUS0177,2024-09-18 00:30:00,Çarşamba,0,1,Döviz,Online,800.01,680.45,17.6,Adana,0,1.31,17,0,normal
TXN001414,MUS0439,2024-06-06 02:04:00,Perşembe,2,1,Yakıt,ATM,655.68,603.4,8.7,Antalya,0,0.12,0,0,normal
TXN004326,MUS0041,2024-12-11 09:31:00,Çarşamba,9,0,Online Alışveriş,Online,672.67,549.04,22.5,Samsun,0,0.28,6,0,normal
TXN004086,MUS0232,2024-02-25 08:06:00,Pazar,8,0,Uluslararası,Fiziksel Kart,299.09,277.81,7.7,Bangkok,1,0.03,1,0,normal
TXN003071,MUS0033,2024-03-16 21:10:00,Cumartesi,21,0,Ulaşım,Online,127.17,566.26,-77.5,Mersin,0,1.37,19,0,normal
TXN000258,MUS0022,2024-10-21 23:32:00,Pazartesi,23,1,Market,Fiziksel Kart,704.64,740.38,-4.8,Adana,0,1.27,9,0,normal
TXN004707,MUS0322,2024-02-13 16:52:00,Salı,16,0,Sağlık,Fiziksel Kart,1220.86,779.53,56.6,Kayseri,0,0.09,8,0,normal
TXN004779,MUS0636,2024-01-12 01:21:00,Cuma,1,1,Elektronik,Fiziksel Kart,710.16,788.67,-10.0,Mersin,0,1.31,9,0,normal
TXN002304,MUS0610,2024-06-09 12:39:00,Pazar,12,0,Eğlence,Online,1439.17,776.12,85.4,Antalya,0,0.96,19,0,normal
TXN003261,MUS0576,2024-03-11 18:58:00,Pazartesi,18,0,Döviz,Fiziksel Kart,516.62,448.68,15.1,New York,1,2.52,75,1,yurtdisi_anomali
TXN004768,MUS0441,2024-11-20 23:09:00,Çarşamba,23,1,Eğlence,Temassız,413.6,358.35,15.4,Konya,0,0.15,4,0,normal
TXN003169,MUS0337,2024-11-18 23:01:00,Pazartesi,23,1,ATM Nakit,Temassız,198.17,265.52,-25.4,Bursa,0,1.53,14,0,normal
TXN003401,MUS0586,2024-05-15 02:15:00,Çarşamba,2,1,Giyim,Telefon,238.05,570.39,-58.3,Antalya,0,1.37,18,0,normal
TXN001478,MUS0561,2024-07-25 02:56:00,Perşembe,2,1,Sağlık,Fiziksel Kart,958.72,741.01,29.4,Gaziantep,0,0.58,8,0,normal
TXN004395,MUS0629,2024-10-10 22:23:00,Perşembe,22,0,ATM Nakit,Temassız,191.21,293.25,-34.8,Antalya,0,1.58,16,0,normal
TXN002646,MUS0627,2024-11-12 19:26:00,Salı,19,0,Giyim,Online,429.71,639.45,-32.8,Ankara,0,1.07,9,0,normal
TXN004709,MUS0525,2024-08-18 03:12:00,Pazar,3,1,Online Alışveriş,Online,784.64,661.63,18.6,Bangkok,1,0.43,6,0,normal
TXN001574,MUS0565,2024-06-30 14:23:00,Pazar,14,0,Yakıt,Temassız,102.93,92.17,11.7,Kayseri,0,0.26,11,0,normal
TXN001480,MUS0009,2024-05-22 06:26:00,Çarşamba,6,0,Elektronik,Fiziksel Kart,173.34,163.57,6.0,İzmir,0,1.07,5,0,normal
TXN004867,MUS0718,2024-05-20 18:11:00,Pazartesi,18,0,Online Alışveriş,Fiziksel Kart,772.0,710.44,8.7,İzmir,0,0.2,4,0,normal
TXN003691,MUS0558,2024-06-06 05:42:00,Perşembe,5,1,Ulaşım,Fiziksel Kart,286.54,396.55,-27.7,Adana,0,0.62,9,0,normal
TXN004295,MUS0031,2024-10-05 00:24:00,Cumartesi,0,1,Döviz,Fiziksel Kart,130.35,135.8,-4.0,Kayseri,0,2.08,17,0,normal
TXN002605,MUS0604,2024-04-19 22:51:00,Cuma,22,0,Online Alışveriş,Online,368.75,625.23,-41.0,Konya,0,0.46,5,0,normal
TXN001303,MUS0447,2024-09-27 01:26:00,Cuma,1,1,Ulaşım,Online,604.14,437.31,38.1,Samsun,0,1.59,18,0,normal
TXN000523,MUS0635,2024-06-17 01:03:00,Pazartesi,1,1,Restoran,Fiziksel Kart,918.09,667.75,37.5,İzmir,0,1.46,20,0,normal
TXN002724,MUS0302,2024-09-28 06:44:00,Cumartesi,6,0,Market,Online,406.91,481.75,-15.5,Adana,0,0.7,16,0,normal
TXN003575,MUS0790,2024-11-21 02:24:00,Perşembe,2,1,Restoran,Online,1032.28,780.55,32.3,Mersin,0,1.42,17,0,normal
TXN003560,MUS0628,2024-05-28 10:22:00,Salı,10,0,Online Alışveriş,Online,397.69,656.98,-39.5,İzmir,0,0.37,4,0,normal
TXN001286,MUS0253,2024-09-22 16:59:00,Pazar,16,0,ATM Nakit,Temassız,919.53,771.17,19.2,Mersin,0,1.3,20,0,normal
TXN001889,MUS0508,2024-01-09 12:38:00,Salı,12,0,Uluslararası,Online,693.83,757.71,-8.4,Samsun,0,0.69,12,0,normal
TXN002162,MUS0674,2024-08-29 05:38:00,Perşembe,5,1,Restoran,Online,307.89,253.37,21.5,Kayseri,0,0.49,4,0,normal
TXN001413,MUS0169,2024-12-27 12:42:00,Cuma,12,0,Ulaşım,ATM,729.59,778.91,-6.3,Ankara,0,0.19,0,0,normal
TXN001977,MUS0298,2024-09-17 10:08:00,Salı,10,0,Yakıt,Online,340.35,521.36,-34.7,İzmir,0,1.54,20,0,normal
TXN002307,MUS0449,2024-11-06 18:05:00,Çarşamba,18,0,Online Alışveriş,Online,254.39,431.62,-41.1,Kayseri,0,0.98,17,0,normal
TXN004465,MUS0226,2024-01-21 10:33:00,Pazar,2,1,ATM Nakit,ATM,2284.06,529.14,331.7,İzmir,0,1.45,63,1,gece_islemi
TXN003116,MUS0019,2024-09-30 00:29:00,Pazartesi,0,1,Eğlence,Fiziksel Kart,321.45,277.67,15.8,Eskişehir,0,0.94,11,0,normal
TXN003307,MUS0080,2024-10-29 04:00:00,Salı,4,1,Market,Fiziksel Kart,257.51,160.47,60.5,Adana,0,0.31,4,0,normal
TXN000477,MUS0590,2024-11-09 04:11:00,Cumartesi,4,1,Yakıt,Fiziksel Kart,1191.28,789.02,51.0,Konya,0,1.52,14,0,normal
TXN003396,MUS0755,2024-09-12 10:27:00,Perşembe,10,0,Giyim,Online,463.76,281.6,64.7,Bursa,0,1.09,10,0,normal
TXN000826,MUS0578,2024-12-22 10:11:00,Pazar,10,0,Giyim,Fiziksel Kart,814.97,761.55,7.0,Ankara,0,2.11,29,0,normal
TXN003689,MUS0739,2024-07-30 09:03:00,Salı,9,0,Sağlık,Fiziksel Kart,382.2,262.94,45.4,Eskişehir,0,0.77,5,0,normal
TXN002815,MUS0394,2024-09-16 20:37:00,Pazartesi,20,0,Uluslararası,Fiziksel Kart,755.0,593.96,27.1,Konya,0,0.96,8,0,normal
TXN004017,MUS0160,2024-10-30 04:29:00,Çarşamba,4,1,Uluslararası,Fiziksel Kart,70.43,88.83,-20.7,Eskişehir,0,0.06,2,0,normal
TXN000513,MUS0543,2024-04-22 19:29:00,Pazartesi,19,0,Elektronik,Online,71.44,338.79,-78.9,Eskişehir,0,1.13,14,0,normal
TXN004347,MUS0711,2024-06-05 23:09:00,Çarşamba,23,1,Restoran,ATM,1065.57,622.21,71.3,Konya,0,0.06,0,0,normal
TXN002323,MUS0073,2024-09-05 18:42:00,Perşembe,18,0,Market,Online,85.22,84.37,1.0,Antalya,0,2.0,21,0,normal
TXN004537,MUS0362,2024-05-01 03:22:00,Çarşamba,0,1,ATM Nakit,ATM,1563.92,392.31,298.6,Samsun,0,6.0,87,1,gece_islemi
TXN000617,MUS0431,2024-07-06 11:03:00,Cumartesi,11,0,ATM Nakit,Fiziksel Kart,222.78,196.45,13.4,Konya,0,1.39,21,0,normal
TXN001046,MUS0052,2024-01-19 18:45:00,Cuma,18,0,Ulaşım,Fiziksel Kart,517.09,581.67,-11.1,Moskova,1,0.89,10,0,normal
TXN003713,MUS0246,2024-04-07 08:21:00,Pazar,8,0,Online Alışveriş,Online,20.69,620.91,-96.7,Antalya,0,4.45,83,1,kart_test
TXN003892,MUS0027,2024-09-03 02:54:00,Salı,2,1,Eğlence,ATM,394.55,182.45,116.3,İzmir,0,0.22,0,0,normal
TXN004767,MUS0416,2024-07-02 05:02:00,Salı,5,1,Döviz,ATM,420.51,513.6,-18.1,Bursa,0,0.34,12,0,normal
TXN002871,MUS0609,2024-10-13 01:39:00,Pazar,1,1,Uluslararası,Fiziksel Kart,5,484.82,-99.0,Bursa,0,0.15,4,0,normal
TXN001049,MUS0357,2024-03-22 01:09:00,Cuma,1,1,Online Alışveriş,Temassız,267.11,381.21,-29.9,Gaziantep,0,1.98,20,0,normal
TXN004437,MUS0326,2024-02-07 21:22:00,Çarşamba,21,0,Giyim,Fiziksel Kart,238.45,394.48,-39.6,Gaziantep,0,1.53,15,0,normal
TXN002968,MUS0013,2024-06-03 03:49:00,Pazartesi,3,1,ATM Nakit,Telefon,156.85,408.66,-61.6,Samsun,0,0.63,1,0,normal
TXN003864,MUS0456,2024-06-29 17:30:00,Cumartesi,17,0,Uluslararası,Temassız,231.17,165.88,39.4,Ankara,0,0.26,3,0,normal
TXN001650,MUS0313,2024-07-24 11:42:00,Çarşamba,11,0,ATM Nakit,Fiziksel Kart,746.58,653.55,14.2,Ankara,0,1.03,8,0,normal
TXN002495,MUS0362,2024-07-15 18:33:00,Pazartesi,18,0,Ulaşım,Online,358.28,392.31,-8.7,Samsun,0,0.01,5,0,normal
TXN000218,MUS0359,2024-01-02 18:48:00,Salı,18,0,Döviz,Fiziksel Kart,489.08,403.13,21.3,İstanbul,0,0.18,0,0,normal
TXN002414,MUS0355,2024-02-23 18:06:00,Cuma,18,0,Sağlık,Online,948.47,614.64,54.3,Mersin,0,0.08,6,0,normal
TXN003731,MUS0176,2024-01-22 18:10:00,Pazartesi,18,0,Sağlık,Temassız,95.22,143.28,-33.5,Mersin,0,2.08,19,0,normal
TXN002536,MUS0229,2024-09-24 10:41:00,Salı,10,0,ATM Nakit,Fiziksel Kart,581.41,743.48,-21.8,Samsun,0,0.08,2,0,normal
TXN003651,MUS0516,2024-06-15 11:48:00,Cumartesi,11,0,Online Alışveriş,Temassız,997.96,610.16,63.6,Ankara,0,1.63,19,0,normal
TXN000081,MUS0585,2024-09-16 19:58:00,Pazartesi,19,0,Restoran,Fiziksel Kart,696.77,652.37,6.8,Mersin,0,0.84,7,0,normal
TXN000727,MUS0318,2024-05-10 08:11:00,Cuma,8,0,Elektronik,Online,133.84,324.32,-58.7,Eskişehir,0,0.27,9,0,normal
TXN000249,MUS0120,2024-02-08 11:28:00,Perşembe,11,0,Döviz,Online,128.1,144.37,-11.3,Gaziantep,0,0.52,5,0,normal
TXN000646,MUS0456,2024-03-22 23:13:00,Cuma,23,1,Uluslararası,Temassız,120.3,165.88,-27.5,Bursa,0,1.64,20,0,normal
TXN000307,MUS0167,2024-01-03 15:35:00,Çarşamba,15,0,Ulaşım,Temassız,210.28,200.91,4.7,Samsun,0,0.48,9,0,normal
TXN001516,MUS0453,2024-06-10 14:50:00,Pazartesi,14,0,Restoran,Fiziksel Kart,652.63,799.94,-18.4,Bursa,0,0.29,12,0,normal
TXN001021,MUS0349,2024-07-03 07:31:00,Çarşamba,7,0,ATM Nakit,Fiziksel Kart,74.34,112.11,-33.7,Samsun,0,0.53,13,0,normal
TXN003473,MUS0517,2024-04-16 18:09:00,Salı,18,0,Elektronik,Fiziksel Kart,131.59,183.98,-28.5,Eskişehir,0,0.36,8,0,normal
TXN003667,MUS0438,2024-07-20 15:31:00,Cumartesi,15,0,Giyim,Online,84.35,107.62,-21.6,Gaziantep,0,0.35,9,0,normal
TXN001718,MUS0468,2024-07-19 18:26:00,Cuma,18,0,ATM Nakit,Online,731.16,669.46,9.2,Antalya,0,1.1,17,0,normal
TXN004970,MUS0516,2024-06-08 02:02:00,Cumartesi,2,1,Online Alışveriş,Fiziksel Kart,725.94,610.16,19.0,Ankara,0,0.67,2,0,normal
TXN004851,MUS0053,2024-06-29 06:41:00,Cumartesi,6,0,Sağlık,Fiziksel Kart,303.82,361.55,-16.0,Adana,0,0.01,6,0,normal
TXN001955,MUS0451,2024-12-19 08:44:00,Perşembe,8,0,ATM Nakit,Online,900.47,616.67,46.0,İstanbul,0,1.17,12,0,normal
TXN001245,MUS0657,2024-12-15 14:02:00,Pazar,14,0,Online Alışveriş,Fiziksel Kart,192.12,264.64,-27.4,Bursa,0,0.83,15,0,normal
TXN001528,MUS0475,2024-09-22 20:53:00,Pazar,20,0,Giyim,Fiziksel Kart,406.8,347.41,17.1,Adana,0,0.03,0,0,normal
