musteri_id,yas,sehir,segment,egitim_duzeyi,meslek,ana_urun,aylik_gelir_tl,banka_bakiyesi_tl,kredi_skoru,kredi_tutari_tl,npl_flag,dijital_kullanim_skoru,uyelik_ay,son_3ay_islem_sayisi
MUS0034,18,İstanbul,Bireysel,Lisansüstü,Esnaf,İhtiyaç Kredisi,60688,206461.99,697,0,0,100,20,19
MUS0035,20,Antalya,Bireysel,Lise,Memur,İhtiyaç Kredisi,157756,875241.22,491,286010.1,1,85,64,9
MUS0036,51,İstanbul,Bireysel,Lise,Çalışan,Kredi Kartı,13296,59960.1,639,0,0,54,1,32
MUS0037,29,İstanbul,KOBİ,Lisansüstü,Çalışan,Kredi Kartı,69766,143755.02,552,0,0,96,81,25
MUS0038,47,Bursa,Bireysel,Üniversite,Çalışan,Konut Kredisi,292921,3710735.22,629,0,0,69,94,20
MUS0039,23,Gaziantep,Özel Bankacılık,Lisansüstü,Serbest Meslek,Vadesiz Mevduat,189979,786294.5,900,2315564.2,0,75,59,20
MUS0040,55,Ankara,Bireysel,Üniversite,Çalışan,Vadesiz Mevduat,16438,131692.34,732,0,0,81,5,4
MUS0041,49,Kayseri,Bireysel,Üniversite,Emekli,İhtiyaç Kredisi,35524,57475.7,606,0,0,84,62,34
MUS0042,45,Gaziantep,Bireysel,Lise,Emekli,Konut Kredisi,21392,97121.2,527,0,0,64,35,51
MUS0043,43,Konya,KOBİ,Üniversite,Serbest Meslek,İhtiyaç Kredisi,52003,112110.93,663,758830.68,0,72,131,7
MUS0044,44,Adana,KOBİ,Lise,Emekli,Konut Kredisi,36604,196097.15,612,0,0,55,142,16
MUS0045,40,Antalya,KOBİ,Üniversite,Esnaf,Yatırım Hesabı,74919,336703.69,747,2086421.46,0,83,132,19
MUS0046,39,Konya,Bireysel,Ortaokul,Memur,Yatırım Hesabı,16013,19211.89,748,328949.99,0,57,9,22
MUS0047,57,Mersin,Bireysel,Lisansüstü,Memur,Kredi Kartı,74006,90503.62,638,690720.76,0,71,165,0
MUS0048,35,Mersin,Bireysel,Lisansüstü,Memur,Kredi Kartı,361125,2762942.08,654,0,0,99,112,16
MUS0049,29,Ankara,KOBİ,Üniversite,Çalışan,Yatırım Hesabı,41576,1994.43,515,0,0,99,147,9
MUS0050,29,Antalya,Bireysel,Üniversite,Esnaf,Konut Kredisi,33776,112249.25,666,327096.24,0,86,132,9
MUS0051,75,Bursa,Bireysel,Lisansüstü,Esnaf,Yatırım Hesabı,35222,114696.72,628,646508.42,0,42,98,18
MUS0052,33,Konya,Bireysel,Lisansüstü,Emekli,Konut Kredisi,62907,310612.28,684,390793.35,0,93,72,18
MUS0053,42,Ankara,Bireysel,Lisansüstü,Emekli,Yatırım Hesabı,54294,299589.64,591,374961.03,0,82,57,23
MUS0054,65,Antalya,Bireysel,Lise,Akademisyen,İhtiyaç Kredisi,28037,80005.89,612,234710.89,0,46,177,20
MUS0055,32,İzmir,Bireysel,Üniversite,Akademisyen,Konut Kredisi,29599,202570.71,394,311828.54,0,83,1,20
MUS0056,46,Gaziantep,Bireysel,Lise,Esnaf,Konut Kredisi,14022,44886.33,685,0,0,58,73,11
MUS0057,39,Konya,Bireysel,Lisansüstü,Serbest Meslek,Kredi Kartı,44169,148585.24,634,0,0,83,47,0
MUS0058,25,İzmir,Bireysel,Üniversite,Memur,Kredi Kartı,29826,202283.15,454,276703.19,0,91,12,31
MUS0059,28,Antalya,Bireysel,Lise,Akademisyen,İhtiyaç Kredisi,9470,60373.6,412,121384.83,0,100,81,19
MUS0060,37,Antalya,Bireysel,Lisansüstü,Akademisyen,Vadesiz Mevduat,58027,74931.5,533,698574.72,1,58,83,12
MUS0061,44,Kayseri,Bireysel,Lise,Akademisyen,Kredi Kartı,259869,2216543.81,511,434153.49,0,64,71,31
MUS0062,32,İzmir,Bireysel,Ortaokul,Çalışan,Yatırım Hesabı,20772,66275.27,487,699497.3,1,68,38,29
MUS0063,39,İstanbul,Bireysel,Lisansüstü,Akademisyen,İhtiyaç Kredisi,76065,205585.97,572,809596.64,0,76,52,42
MUS0064,24,Bursa,Bireysel,Üniversite,Akademisyen,Kredi Kartı,15962,47210.52,489,105361.9,1,83,49,41
MUS0065,32,Kayseri,Bireysel,Lisansüstü,Çalışan,Yatırım Hesabı,54851,343716.03,789,0,0,100,63,36
MUS0066,26,Bursa,Bireysel,Lisansüstü,Akademisyen,İhtiyaç Kredisi,84187,274618.28,590,2404989.86,0,76,92,14
MUS0067,27,Ankara,Özel Bankacılık,Üniversite,Emekli,Vadesiz Mevduat,71230,52080.96,608,0,0,100,36,11
MUS0068,47,Ankara,Bireysel,Ortaokul,Memur,Konut Kredisi,11954,50647.43,680,54181.7,0,82,10,18
MUS0069,51,Ankara,KOBİ,Üniversite,Esnaf,İhtiyaç Kredisi,60006,209238.3,633,1119817.28,0,87,2,41
MUS0070,48,Antalya,Bireysel,Lise,Memur,İhtiyaç Kredisi,20030,11878.44,436,119888.6,0,100,97,43
MUS0071,65,Bursa,Bireysel,Lise,Serbest Meslek,Yatırım Hesabı,18190,84556.96,663,425203.54,1,71,156,23
MUS0072,22,İzmir,Bireysel,Lise,Serbest Meslek,İhtiyaç Kredisi,16541,9404.04,561,419044.29,0,97,152,27
MUS0073,65,Konya,Bireysel,Üniversite,Memur,Vadesiz Mevduat,29845,93854.63,670,0,0,31,107,19
MUS0074,48,Mersin,Bireysel,Üniversite,Çalışan,İhtiyaç Kredisi,41061,160835.62,537,867550.25,0,88,16,24
MUS0075,22,Bursa,Bireysel,Lise,Emekli,İhtiyaç Kredisi,15914,70822.29,433,370079.82,1,91,63,24
MUS0076,37,İzmir,KOBİ,Üniversite,Esnaf,Yatırım Hesabı,38702,111246.12,477,0,0,100,1,34
MUS0077,46,Antalya,Bireysel,Lise,Esnaf,Yatırım Hesabı,25681,106684.69,645,0,0,50,132,2
MUS0078,32,Mersin,Özel Bankacılık,Üniversite,Akademisyen,Yatırım Hesabı,252119,1198964.28,900,3141109.58,0,83,112,46
MUS0079,42,İzmir,Bireysel,Üniversite,Memur,Vadesiz Mevduat,29846,77847.95,543,642460.26,0,83,10,25
MUS0080,44,Ankara,Bireysel,Lise,Akademisyen,İhtiyaç Kredisi,109132,776753.62,556,381237.31,0,64,142,4
MUS0081,43,Antalya,Bireysel,Lisansüstü,Serbest Meslek,Konut Kredisi,52953,263721.75,571,960540.37,0,86,132,16
MUS0082,32,Gaziantep,KOBİ,İlkokul,Memur,Konut Kredisi,11474,32169.98,530,114146.18,1,46,148,5
MUS0083,26,Ankara,Bireysel,Lise,Esnaf,İhtiyaç Kredisi,12640,46753.82,514,313093.88,0,75,70,0
MUS0084,40,İzmir,KOBİ,Lise,Serbest Meslek,Konut Kredisi,44848,294589.29,641,284545.61,0,46,74,22
MUS0085,28,Mersin,Bireysel,Lise,Akademisyen,Konut Kredisi,19183,88456.82,494,391592.07,1,68,70,18
MUS0086,43,Ankara,Bireysel,Üniversite,Esnaf,İhtiyaç Kredisi,18870,86618.69,631,29580.15,0,71,37,15
MUS0087,43,Adana,Bireysel,Lisansüstü,Memur,Yatırım Hesabı,52168,185247.37,589,0,0,62,153,6
MUS0088,55,Adana,Bireysel,Ortaokul,Memur,Yatırım Hesabı,10719,27092.2,576,0,0,28,102,14
MUS0089,54,Adana,Bireysel,Lise,Akademisyen,İhtiyaç Kredisi,24145,149817.3,672,0,0,57,94,13
MUS0090,18,Ankara,Özel Bankacılık,Üniversite,Emekli,Yatırım Hesabı,122401,666905.27,768,0,0,100,37,22
MUS0091,52,Ankara,Bireysel,Üniversite,Esnaf,Yatırım Hesabı,31916,131124.61,589,826847.72,0,96,82,15
MUS0092,42,Bursa,Bireysel,Lisansüstü,Esnaf,Konut Kredisi,26125,108376.54,659,0,0,92,1,28
MUS0093,58,Antalya,Bireysel,Üniversite,Esnaf,Yatırım Hesabı,25331,116059.1,664,0,0,87,124,26
MUS0094,42,Kayseri,Özel Bankacılık,Lisansüstü,Çalışan,Vadesiz Mevduat,209374,1033304.98,900,4889034.8,0,81,65,24
MUS0095,43,Bursa,Bireysel,Lise,Memur,Konut Kredisi,22670,149017.71,669,438861.98,0,72,1,25
MUS0096,41,Mersin,Bireysel,İlkokul,Memur,Vadesiz Mevduat,12552,11630.02,532,289326.31,0,59,119,25
MUS0097,25,Ankara,Bireysel,Üniversite,Emekli,Yatırım Hesabı,27141,31560.99,510,691080.76,0,94,99,38
MUS0098,66,Kayseri,Bireysel,Üniversite,Esnaf,Yatırım Hesabı,32331,190905.74,682,577859.15,0,47,75,39
MUS0099,32,Adana,Bireysel,Ortaokul,Çalışan,Yatırım Hesabı,16386,89636.27,454,0,0,58,76,34
MUS0100,56,Bursa,Bireysel,İlkokul,Serbest Meslek,Vadesiz Mevduat,7171,40006.25,472,192012.32,1,31,40,24
MUS0101,39,Adana,Bireysel,Lise,Emekli,İhtiyaç Kredisi,22211,61844.83,678,365602.09,0,46,61,21
MUS0102,37,Kayseri,KOBİ,Lise,Memur,Vadesiz Mevduat,34922,191293.42,487,776694.08,0,51,97,36
MUS0103,33,İstanbul,Bireysel,Ortaokul,Akademisyen,İhtiyaç Kredisi,7773,52244.23,460,1119.61,0,68,59,41
MUS0104,50,Mersin,Bireysel,İlkokul,Serbest Meslek,İhtiyaç Kredisi,10196,34567.41,592,77340.43,0,37,42,36
MUS0105,54,Kayseri,Bireysel,Ortaokul,Çalışan,İhtiyaç Kredisi,13093,87510.1,498,0,1,59,85,12
MUS0106,18,Adana,Özel Bankacılık,Üniversite,Akademisyen,Vadesiz Mevduat,114552,399573.45,714,0,0,100,62,14
MUS0107,57,Bursa,Bireysel,Üniversite,Serbest Meslek,İhtiyaç Kredisi,31880,49339.78,747,0,0,63,58,4
MUS0108,75,Gaziantep,Bireysel,Üniversite,Memur,Kredi Kartı,42712,149695.94,584,928316.09,0,58,4,34
MUS0109,70,İstanbul,Özel Bankacılık,Üniversite,Esnaf,Kredi Kartı,141076,722429.12,900,0,0,53,33,20
MUS0110,38,Kayseri,Bireysel,Lise,Akademisyen,Konut Kredisi,16424,37877.53,489,0,0,83,131,30
MUS0111,35,İstanbul,Bireysel,Ortaokul,Akademisyen,Yatırım Hesabı,11772,63220.17,457,154675.94,0,45,52,19
MUS0112,50,Konya,Bireysel,Ortaokul,Memur,Kredi Kartı,8151,39553.17,611,232105.9,0,51,1,28
MUS0113,41,Adana,Bireysel,Lise,Memur,Konut Kredisi,15172,65895.71,759,0,0,82,1,37
MUS0114,27,Mersin,KOBİ,Üniversite,Serbest Meslek,Kredi Kartı,66259,151204.93,651,1784807.62,0,86,81,32
MUS0115,19,Konya,Bireysel,Lise,Memur,Vadesiz Mevduat,22698,79928.4,412,217124.77,1,100,54,20
MUS0116,65,Antalya,KOBİ,Üniversite,Esnaf,Yatırım Hesabı,653204,1478705.04,887,3121443.81,0,52,15,21
MUS0117,34,Konya,Bireysel,Ortaokul,Esnaf,Kredi Kartı,16377,117802.29,773,0,0,62,113,28
MUS0118,28,İstanbul,Bireysel,Lise,Akademisyen,Vadesiz Mevduat,25092,91998.81,607,0,0,58,125,24
MUS0119,35,Mersin,KOBİ,Üniversite,Akademisyen,Vadesiz Mevduat,59933,124885.48,573,0,0,99,130,50
MUS0120,47,Adana,Bireysel,Lise,Emekli,Kredi Kartı,10113,59100.27,720,0,0,51,96,24
MUS0121,27,Konya,Bireysel,Üniversite,Çalışan,Kredi Kartı,32785,36845.61,549,0,0,80,1,20
MUS0122,55,Antalya,Bireysel,Lise,Çalışan,Konut Kredisi,15688,16631.51,514,0,0,61,142,14
MUS0123,62,Kayseri,Bireysel,Lise,Emekli,Konut Kredisi,15254,54698.13,682,0,0,45,114,21
MUS0124,55,Kayseri,Bireysel,Üniversite,Serbest Meslek,Vadesiz Mevduat,21057,47020.09,621,629530.1,0,84,88,20
MUS0125,36,Kayseri,Bireysel,Lisansüstü,Serbest Meslek,İhtiyaç Kredisi,35506,22024.58,492,0,0,93,62,31
MUS0126,48,Mersin,KOBİ,Lise,Akademisyen,Vadesiz Mevduat,35777,175968.76,598,0,0,80,71,0
MUS0127,42,İstanbul,Özel Bankacılık,İlkokul,Esnaf,Yatırım Hesabı,66759,504963.11,629,2769537.95,0,77,36,14
MUS0128,43,Konya,Bireysel,Üniversite,Akademisyen,Kredi Kartı,38129,158627.46,592,1125114.22,0,69,34,12
MUS0129,46,İzmir,Bireysel,Üniversite,Serbest Meslek,Vadesiz Mevduat,29553,161430.54,619,0,0,98,77,20
MUS0130,37,Gaziantep,Bireysel,Üniversite,Akademisyen,Konut Kredisi,25294,34010.77,659,384707.06,0,68,79,33
MUS0131,41,Kayseri,Özel Bankacılık,Üniversite,Serbest Meslek,Kredi Kartı,124328,194165.21,817,1056724.03,0,87,60,34
MUS0132,19,İzmir,Bireysel,Lise,Esnaf,İhtiyaç Kredisi,20727,101661.51,513,336954.67,0,71,88,18
MUS0133,43,İstanbul,KOBİ,Lise,Memur,Kredi Kartı,36412,135173.37,606,0,0,74,88,20
MUS0134,24,Gaziantep,Bireysel,Lise,Serbest Meslek,İhtiyaç Kredisi,26072,0,620,940455.57,0,100,135,39
MUS0135,52,Gaziantep,Özel Bankacılık,Üniversite,Akademisyen,Kredi Kartı,84881,527105.57,725,0,0,59,93,23
MUS0136,55,Ankara,Bireysel,İlkokul,Akademisyen,İhtiyaç Kredisi,46948,65031.79,629,70942.75,0,18,95,28
MUS0137,35,İstanbul,KOBİ,Ortaokul,Çalışan,Kredi Kartı,31559,32497.52,551,0,0,84,54,31
MUS0138,26,Bursa,Bireysel,Lise,Çalışan,Vadesiz Mevduat,15478,60129.73,497,0,0,78,66,12
MUS0139,56,Gaziantep,Bireysel,Lise,Çalışan,İhtiyaç Kredisi,20708,129917.99,620,0,0,69,104,32
MUS0140,42,Gaziantep,Bireysel,Üniversite,Serbest Meslek,İhtiyaç Kredisi,36062,45727.29,476,0,0,100,114,25
MUS0141,50,Ankara,Bireysel,Lise,Esnaf,Yatırım Hesabı,18760,100175.41,658,0,0,56,79,29
MUS0142,38,Konya,KOBİ,Lisansüstü,Akademisyen,Yatırım Hesabı,86039,354310.5,782,575363.19,0,93,8,41
MUS0143,33,Konya,KOBİ,Üniversite,Çalışan,Kredi Kartı,80858,217772.42,670,1353206.22,0,100,48,25
MUS0144,40,Bursa,Bireysel,Üniversite,Akademisyen,Konut Kredisi,46692,317611.32,613,1167261.68,0,100,61,8
MUS0145,43,İstanbul,Bireysel,Üniversite,Memur,Vadesiz Mevduat,20756,99567.63,543,0,0,97,75,10
MUS0146,53,Konya,Bireysel,Üniversite,Memur,Vadesiz Mevduat,20923,75032.31,739,404716.85,0,48,70,0
MUS0147,54,Kayseri,Özel Bankacılık,Ortaokul,Serbest Meslek,Yatırım Hesabı,27377,92858.9,618,711735.88,0,8,13,24
MUS0148,60,İstanbul,Bireysel,Ortaokul,Emekli,İhtiyaç Kredisi,10842,40972.09,654,198312.13,0,50,11,25
MUS0149,37,Bursa,Bireysel,Lisansüstü,Akademisyen,Yatırım Hesabı,49964,204587.5,800,0,0,100,60,20
MUS0150,51,Bursa,Bireysel,Üniversite,Akademisyen,İhtiyaç Kredisi,26719,43270.3,578,0,0,64,18,7
MUS0151,55,Ankara,Bireysel,Üniversite,Çalışan,Vadesiz Mevduat,35347,170982.95,741,0,0,79,1,4
MUS0152,53,Konya,Bireysel,Üniversite,Çalışan,Yatırım Hesabı,26540,72796.95,516,198621.01,0,53,96,25
MUS0153,52,Gaziantep,Bireysel,Lise,Memur,Vadesiz Mevduat,18151,54266.65,653,387473.37,0,77,62,23
MUS0154,38,Mersin,Bireysel,Üniversite,Emekli,Vadesiz Mevduat,38609,297579.98,704,0,0,100,63,27
MUS0155,52,Konya,Bireysel,Ortaokul,Serbest Meslek,İhtiyaç Kredisi,11506,65192.41,606,0,0,38,61,8
MUS0156,48,İzmir,Bireysel,Lise,Emekli,Konut Kredisi,13571,73230.57,521,314504.24,0,46,51,37
MUS0157,40,İzmir,Bireysel,Lisansüstü,Çalışan,Konut Kredisi,31746,235535.01,579,487052.73,0,100,101,18
MUS0158,49,Kayseri,Bireysel,İlkokul,Akademisyen,İhtiyaç Kredisi,7422,37953.46,432,194538.99,0,22,98,29
MUS0159,55,Gaziantep,Bireysel,Üniversite,Memur,İhtiyaç Kredisi,29399,60845.87,688,0,0,63,15,24
MUS0160,31,Ankara,Bireysel,Ortaokul,Serbest Meslek,Konut Kredisi,14488,92473.06,448,0,0,60,114,19
MUS0161,24,Ankara,Bireysel,Lise,Esnaf,Yatırım Hesabı,15064,65535.42,618,192107.41,0,64,127,21
MUS0162,35,Ankara,Özel Bankacılık,Ortaokul,Akademisyen,Kredi Kartı,73450,331888.63,586,2090907.26,0,79,85,23
MUS0163,59,Adana,Bireysel,Üniversite,Akademisyen,Kredi Kartı,23699,35041.34,619,237654.76,0,74,50,16
MUS0164,40,Mersin,Bireysel,Lisansüstü,Emekli,Yatırım Hesabı,55667,242397.38,718,0,0,92,11,26
MUS0165,27,Ankara,Bireysel,Lise,Emekli,Yatırım Hesabı,22575,81979.05,502,522476.86,0,73,79,12
MUS0166,22,İzmir,Bireysel,Lise,Serbest Meslek,Konut Kredisi,21873,115846.01,601,0,0,97,27,16
MUS0167,48,İzmir,Bireysel,Üniversite,Emekli,Konut Kredisi,36036,121343.25,640,804574.21,0,76,127,18
MUS0168,49,Gaziantep,Bireysel,Üniversite,Emekli,İhtiyaç Kredisi,40083,176420.18,588,763154.21,0,87,1,13
MUS0169,22,Mersin,Bireysel,Ortaokul,Esnaf,Konut Kredisi,79477,790519.58,442,66275.67,0,87,73,46
MUS0170,47,Ankara,Bireysel,Üniversite,Serbest Meslek,Kredi Kartı,18876,40361.91,697,0,0,80,94,24
MUS0171,49,Antalya,Bireysel,Üniversite,Serbest Meslek,Konut Kredisi,37423,141498.16,459,347604.61,0,78,48,22
MUS0172,29,İzmir,Bireysel,Üniversite,Serbest Meslek,Kredi Kartı,34814,188060.24,593,1163048.63,0,76,22,18
MUS0173,45,Gaziantep,KOBİ,Üniversite,Çalışan,Konut Kredisi,44010,204643.3,501,0,0,63,179,39
MUS0174,63,Ankara,Bireysel,Üniversite,Emekli,Kredi Kartı,26658,59577.49,645,371965.64,0,61,96,0
MUS0175,18,Konya,Bireysel,İlkokul,Serbest Meslek,İhtiyaç Kredisi,10008,0,635,0,0,78,44,39
MUS0176,24,Ankara,Bireysel,Lise,Akademisyen,Kredi Kartı,25172,123247.43,542,119072.56,1,93,90,36
MUS0177,49,İstanbul,Bireysel,Üniversite,Memur,İhtiyaç Kredisi,26466,49226.91,619,0,0,81,108,28
MUS0178,56,İzmir,Bireysel,Üniversite,Akademisyen,Kredi Kartı,34827,107225.51,615,733346.4,0,93,33,13
MUS0179,34,İzmir,KOBİ,Üniversite,Esnaf,İhtiyaç Kredisi,82848,363306.65,639,0,0,87,137,20
MUS0180,32,Antalya,Bireysel,Lise,Esnaf,Yatırım Hesabı,20024,117099.84,483,0,0,57,75,33
MUS0181,47,Ankara,Bireysel,Üniversite,Memur,Konut Kredisi,28068,158943.31,534,349455.06,0,53,73,19
MUS0182,37,İstanbul,Bireysel,Lisansüstü,Emekli,Yatırım Hesabı,80375,339605.04,615,939726.11,0,75,88,24
MUS0183,26,İzmir,Özel Bankacılık,Üniversite,Emekli,Yatırım Hesabı,86224,318121.75,661,0,0,89,1,26
MUS0184,43,Mersin,Bireysel,Ortaokul,Akademisyen,Kredi Kartı,16130,99036.58,567,0,0,51,1,18
MUS0185,42,İzmir,Bireysel,Üniversite,Çalışan,Vadesiz Mevduat,27822,126857.39,543,432354.31,1,61,28,25
MUS0186,39,Adana,Bireysel,Lise,Memur,Yatırım Hesabı,15624,62366.24,567,0,0,77,73,4
MUS0187,62,İstanbul,Özel Bankacılık,Üniversite,Akademisyen,İhtiyaç Kredisi,155420,853506.82,900,0,0,57,50,19
MUS0188,54,Bursa,Bireysel,Üniversite,Memur,İhtiyaç Kredisi,34225,110260.71,791,583323.64,0,70,34,18
MUS0189,42,Mersin,Bireysel,Lisansüstü,Serbest Meslek,Yatırım Hesabı,42652,258172.21,636,396009.57,0,100,74,21
MUS0190,18,Antalya,KOBİ,Ortaokul,Esnaf,Kredi Kartı,36146,184056.49,564,852528.8,0,82,1,35
MUS0191,55,Mersin,KOBİ,Ortaokul,Serbest Meslek,İhtiyaç Kredisi,31047,0,718,543937.27,0,63,48,3
MUS0192,46,Ankara,Bireysel,Lisansüstü,Serbest Meslek,Yatırım Hesabı,59931,140835.66,697,561388.51,0,100,1,27
MUS0193,64,Antalya,KOBİ,Üniversite,Akademisyen,Yatırım Hesabı,682246,3635377.62,773,911200.97,0,76,62,58
MUS0194,45,Bursa,KOBİ,Ortaokul,Memur,Kredi Kartı,28353,121184.56,555,230195.88,0,71,127,30
MUS0195,43,Ankara,Bireysel,Lise,Akademisyen,İhtiyaç Kredisi,15790,96129.36,462,322294.38,0,67,1,29
MUS0196,39,Gaziantep,Bireysel,Lise,Serbest Meslek,Kredi Kartı,23796,134243.3,678,0,0,62,26,32
MUS0197,32,Gaziantep,Bireysel,Lise,Esnaf,Kredi Kartı,11379,15518.53,617,0,0,34,33,33
MUS0198,57,Kayseri,Özel Bankacılık,Lise,Çalışan,Kredi Kartı,95935,727886.43,796,2039160.44,0,42,41,17
MUS0199,44,Bursa,Bireysel,Lise,Akademisyen,Vadesiz Mevduat,5000,0,457,203481.08,1,50,75,32
MUS0200,56,Mersin,Bireysel,İlkokul,Akademisyen,Konut Kredisi,6999,19657.23,570,0,0,52,34,16
MUS0201,54,Bursa,Bireysel,İlkokul,Emekli,Vadesiz Mevduat,6372,40806.68,610,71057.56,0,44,59,33
MUS0202,57,Kayseri,Bireysel,Lisansüstü,Memur,Konut Kredisi,48150,56481.71,612,687155.57,0,71,20,13
MUS0203,31,Kayseri,KOBİ,Üniversite,Esnaf,Konut Kredisi,70418,466820.52,697,0,0,100,126,35
MUS0204,46,Gaziantep,Özel Bankacılık,Lisansüstü,Esnaf,Vadesiz Mevduat,340733,1701302.01,900,0,0,96,106,19
MUS0205,46,Ankara,Bireysel,Üniversite,Akademisyen,Konut Kredisi,23327,105361.39,602,489811.85,0,92,72,18
MUS0206,18,Gaziantep,Bireysel,Lise,Emekli,Vadesiz Mevduat,22524,20203.21,426,262411.15,0,90,60,31
MUS0207,43,Gaziantep,Bireysel,Lise,Memur,Yatırım Hesabı,31937,64662.72,491,0,0,100,57,9
MUS0208,44,Gaziantep,Bireysel,Lise,Memur,Konut Kredisi,21369,63200.66,473,0,0,67,110,22
MUS0209,45,İzmir,KOBİ,Ortaokul,Memur,İhtiyaç Kredisi,38979,231929.85,567,449190.9,0,31,1,16
MUS0210,42,Antalya,Bireysel,Ortaokul,Esnaf,İhtiyaç Kredisi,14981,117152.6,518,364910.45,0,62,109,40
MUS0211,49,Adana,Bireysel,Üniversite,Emekli,Yatırım Hesabı,30449,143184.07,549,0,0,86,28,0
MUS0212,18,Antalya,Bireysel,Ortaokul,Akademisyen,Vadesiz Mevduat,11897,58746.5,409,0,0,97,127,38
MUS0213,72,İzmir,KOBİ,İlkokul,Memur,İhtiyaç Kredisi,20521,154951.26,713,546216.22,0,28,52,7
